operator_a,operator_b,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
geometric@0.10,linear@0.10,0.7826034497907265,0.035256477429879585,0.7106917367665031,0.8450641025641025,0.870833511265916,0.035104713676535726,0.8018018018018018,0.941747572815534
geometric@0.10,linear@0.50,0.1366934528692532,0.050894907861131315,0.03217440252665294,0.23479234796702234,0.4198152066596715,0.03982354047638915,0.3511246145474333,0.5037593984962406
geometric@0.10,linear@0.90,-0.34215047333199905,0.038004946548076554,-0.410491638006611,-0.2681009901049029,0.07842399650863807,0.01965699016280788,0.0471204188481675,0.1235955056179775
geometric@0.50,geometric@0.10,0.10847340914614087,0.05198588145138426,0.003457101396698674,0.20469875915625882,0.40115137947079904,0.039864172304131716,0.3245033112582781,0.4814814814814814
geometric@0.50,linear@0.10,0.028374931835542884,0.052252771015923974,-0.07482750360513668,0.12481331565037543,0.35652860742699044,0.03853182166544343,0.282051282051282,0.4285714285714285
geometric@0.50,linear@0.50,0.8838546494824575,0.01861956308992218,0.846310846894959,0.9170023722707904,0.90132446528352,0.031056799497759448,0.8348623853211009,0.9607843137254902
geometric@0.50,linear@0.90,-0.14019131326467463,0.051785574799454434,-0.2367198803502278,-0.03064153482016912,0.1948851247769433,0.029679868748865492,0.1428571428571428,0.2578616352201258
geometric@0.90,geometric@0.10,-0.2533823625286956,0.03970100760131129,-0.32538121309156,-0.17409244858698897,0.150240743268945,0.026431570700195476,0.0989010989010989,0.2048192771084337
geometric@0.90,geometric@0.50,0.10868299053319738,0.0523547416878288,0.006763763541435214,0.20579304603808868,0.40192528257999394,0.039733391648811754,0.3333333333333333,0.4925373134328358
geometric@0.90,linear@0.10,-0.28899123906009605,0.03915212445742651,-0.36494325937442684,-0.2078769592024988,0.13517787491739247,0.024715963670418787,0.09274768353528147,0.1834319526627219
geometric@0.90,linear@0.50,0.13803691140534613,0.05100292193392162,0.03639059103834048,0.23870098130899386,0.42067483055568555,0.039385296409060536,0.3513513513513513,0.5037593984962406
geometric@0.90,linear@0.90,0.24723039989218426,0.06661122974645015,0.12565130989044568,0.38474675549611725,0.3620434669304201,0.04309262295753656,0.2903225806451613,0.4492753623188406
linear@0.50,linear@0.10,0.05474006494983147,0.051869099782867696,-0.051336069028210175,0.15099506225847997,0.3768268884568879,0.03850029511589797,0.2987012987012987,0.4492753623188406
linear@0.90,linear@0.10,-0.2972420020479077,0.03627896496314729,-0.3659994719857997,-0.22165836051555482,0.07167333701657322,0.018953396819894764,0.0362694300518134,0.1111111111111111
linear@0.90,linear@0.50,-0.04626949903905091,0.04746281996694377,-0.13457109156313557,0.0493371590920746,0.21274155460397232,0.03089031161354851,0.1560693641618497,0.282051282051282
min,geometric@0.10,0.055010106157395745,0.047336750740215316,-0.03685211689703009,0.14758651810812454,0.31783634906264097,0.03599460061518734,0.25,0.3888888888888889
min,geometric@0.50,0.5503257321699345,0.03961108198654513,0.4660860395771212,0.6228705998240549,0.688688629571487,0.041885277189612685,0.6129032258064516,0.7699115044247787
min,geometric@0.90,0.054215108022269046,0.04783299315983296,-0.03885121467113091,0.147383545722852,0.3172028745451198,0.03671163515709816,0.25,0.3888888888888889
min,linear@0.10,-0.017696403738829056,0.0467107813279637,-0.11051041565228675,0.07456068303561375,0.2778948490463206,0.03443914642517932,0.2121212121212121,0.3422818791946309
min,linear@0.50,0.47761550923567314,0.0438227073518169,0.3845486702207005,0.5602015921931177,0.6273718935148155,0.041899316711031295,0.5503875968992248,0.7094017094017094
min,linear@0.90,-0.154107092044731,0.04472009479541433,-0.23900357487860352,-0.06702026615441613,0.1446997521225269,0.025992442265887202,0.0989010989010989,0.1976047904191616
