trial,seed,lambda,q_weak,mode,delta,v,w_weak,e_weak_context,s_veto_given_weak,n_veto_topk,n_weak_nv_topk,n_normal_topk,p_threshold,mean_R_topk,frac_Rprime1_topk,contrib_veto_R,contrib_weak_nv_R,contrib_normal_R,veto_inclusion,veto_frac_sat,veto_mean_P_all,veto_mean_R_orig_all,veto_mean_P_sel,veto_mean_P_nsel,veto_mean_R_orig_sel,veto_mean_R_orig_nsel,veto_count_topk,veto_P_q25,veto_P_q50,veto_P_q75,veto_P_q90,veto_P_q95,weak_nv_inclusion,weak_nv_frac_sat,weak_nv_mean_P_all,weak_nv_mean_R_orig_all,weak_nv_mean_P_sel,weak_nv_mean_P_nsel,weak_nv_mean_R_orig_sel,weak_nv_mean_R_orig_nsel,weak_nv_count_topk,weak_nv_P_q25,weak_nv_P_q50,weak_nv_P_q75,weak_nv_P_q90,weak_nv_P_q95,normal_inclusion,normal_frac_sat,normal_mean_P_all,normal_mean_R_orig_all,normal_mean_P_sel,normal_mean_P_nsel,normal_mean_R_orig_sel,normal_mean_R_orig_nsel,normal_count_topk,normal_P_q25,normal_P_q50,normal_P_q75,normal_P_q90,normal_P_q95,pairwise_weak_gt_veto,pairwise_sat_weak_gt_veto,n_veto_weak_pairs,n_sat_pairs
0,42,0.75,0.25,clipped,0.0,0.03,0.0,0.03,1.0,3,0,97,0.7167344296274314,0.84519557984,0.0,0.029161308026713274,0.0,0.8160342718132866,0.015,0.0,0.6110494808737138,0.8147326411649517,0.7290327006678319,0.6092527820951231,0.9720436008904425,0.8123370427934975,3.0,0.5613474708153429,0.6266948079896119,0.6659073431174201,0.6911945267984575,0.6990488892322548,0.0,0.0,0.41203867848748593,0.49474938583095085,,0.41203867848748593,,0.49474938583095085,0.0,0.2797490893636756,0.4161048683577182,0.5212039398759863,0.6571887866977266,0.685338475291778,0.14098837209302326,0.0,0.5156722344517202,0.5023188375877538,0.7921116241034608,0.4703006256594716,0.8412724451683367,0.4466868580017697,97.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,,22400.0,0.0
0,42,0.75,0.25,clipped,0.05,0.12,0.04,0.16,0.75,12,4,84,0.7356984732706952,0.8680798033396276,0.05,0.11402806844003621,0.03563715760968772,0.7184145772899038,0.06,0.025,0.6482892974761679,0.8147326411649517,0.7458390377911295,0.6420627183071279,0.9502339036669684,0.8060836244095038,12.0,0.598847470815343,0.6641948079896118,0.70340734311742,0.7286945267984575,0.7365488892322548,0.03571428571428571,0.0,0.4495386784874859,0.49474938583095085,0.7426424463482183,0.4386829833815329,0.8909289402421929,0.4800760690009047,4.0,0.3172490893636756,0.4536048683577183,0.5587039398759863,0.6946887866977266,0.7228384752917779,0.12209302325581395,0.0,0.5156722344517202,0.5023188375877538,0.8023409195343196,0.4758044040759943,0.8552554491546474,0.4532349379658678,84.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,,22400.0,0.0
0,42,0.75,0.25,clipped,0.1,0.18,0.09,0.27,0.6666666666666666,18,9,73,0.75,0.8748691385236812,0.19,0.16618385156167156,0.0786610840567924,0.6300242029052172,0.09,0.185,0.6823343754266148,0.8147326411649517,0.75,0.6756421707984779,0.9232436197870643,0.8040007861363909,18.0,0.6363474708153428,0.7016948079896118,0.74090734311742,0.75,0.75,0.08035714285714286,0.008928571428571428,0.4870204263959401,0.49474938583095085,0.768698731278722,0.4624077589789979,0.874012045075471,0.4616099301688083,9.0,0.3547490893636756,0.4911048683577182,0.5962039398759863,0.7321887866977266,0.760338475291778,0.10610465116279069,0.0,0.5156722344517202,0.5023188375877538,0.8114629759378071,0.4805621139175992,0.8630468532948181,0.45950071539813464,73.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.16058035714285715,1.0,22400.0,37.0
0,42,0.75,0.25,clipped,0.15,0.12,0.15,0.27,0.4444444444444444,12,15,73,0.75,0.8650689906912361,0.19,0.10759264537063601,0.12745214241538275,0.6300242029052172,0.06,0.44,0.7077297614438934,0.8147326411649517,0.75,0.7050316611105251,0.8966053780886334,0.8095067217868444,12.0,0.6738474708153429,0.7391948079896118,0.75,0.75,0.75,0.13392857142857142,0.0625,0.5230093627662767,0.49474938583095085,0.780023801122471,0.48326486198954566,0.849680949435885,0.43986306156214655,15.0,0.39224908936367564,0.5286048683577182,0.6337039398759863,0.7680984363972284,0.785545225164635,0.10610465116279069,0.0,0.5156722344517202,0.5023188375877538,0.8114629759378071,0.4805621139175992,0.8630468532948181,0.45950071539813464,73.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.17816964285714285,1.0,22400.0,616.0
0,42,0.75,0.25,clipped,0.2,0.09,0.18,0.27,0.3333333333333333,9,18,73,0.75,0.858528233254296,0.23,0.07814435920687997,0.15035967114219884,0.6300242029052172,0.045,0.595,0.7256742576907976,0.8147326411649517,0.75,0.7245280185243954,0.8682706578542219,0.8122099073942531,9.0,0.7113474708153428,0.75,0.75,0.75,0.75,0.16071428571428573,0.125,0.556885886457473,0.49474938583095085,0.788386977309698,0.5125558903368342,0.8353315063455491,0.4295315329664533,18.0,0.4297490893636756,0.5661048683577181,0.6712039398759864,0.7827144029254515,0.7926605965660973,0.10610465116279069,0.0,0.5156722344517202,0.5023188375877538,0.8114629759378071,0.4805621139175992,0.8630468532948181,0.45950071539813464,73.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.19129464285714284,1.0,22400.0,1666.0
0,42,0.75,0.25,clipped,0.25,0.06,0.21,0.27,0.2222222222222222,6,21,73,0.75,0.8520762559419723,0.23,0.050720887901367945,0.17133116513538724,0.6300242029052172,0.03,0.745,0.7375085970144403,0.8147326411649517,0.75,0.7371222649633405,0.8453481316894657,0.8137857703239874,6.0,0.7488474708153429,0.75,0.75,0.75,0.75,0.1875,0.15178571428571427,0.5892291531526139,0.49474938583095085,0.7901223481444406,0.5428691850775772,0.8158626911208916,0.42064631537942604,21.0,0.4672490893636756,0.6036048683577182,0.7087039398759863,0.7899939655848736,0.800208617345902,0.10610465116279069,0.0,0.5156722344517202,0.5023188375877538,0.8114629759378071,0.4805621139175992,0.8630468532948181,0.45950071539813464,73.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.20986607142857142,1.0,22400.0,2533.0
0,42,0.75,0.25,clipped,0.3,0.0,0.27,0.27,0.0,0,27,73,0.7520545549925371,0.8403947788395918,0.2,0.0,0.2103705759343745,0.6300242029052172,0.0,0.87,0.7446983476358072,0.8147326411649517,,0.7446983476358072,,0.8147326411649517,0.0,0.75,0.75,0.75,0.75,0.75,0.24107142857142858,0.17857142857142858,0.6206536677306252,0.49474938583095085,0.7874185857255532,0.5676812820145892,0.779150281238424,0.4044102778779887,27.0,0.5047490893636757,0.6411048683577182,0.7462039398759863,0.7942103145070316,0.8034182777538542,0.10610465116279069,0.0,0.5156722344517202,0.5023188375877538,0.8114629759378071,0.4805621139175992,0.8630468532948181,0.45950071539813464,73.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.25473214285714285,1.0,22400.0,3480.0
0,42,0.75,0.25,unclipped,0.0,0.03,0.0,0.03,1.0,3,0,97,0.7167344296274314,0.84519557984,0.0,0.029161308026713274,0.0,0.8160342718132866,0.015,0.0,0.6110494808737138,0.8147326411649517,0.7290327006678319,0.6092527820951231,0.9720436008904425,0.8123370427934975,3.0,0.5613474708153429,0.6266948079896119,0.6659073431174201,0.6911945267984575,0.6990488892322548,0.0,0.0,0.41203867848748593,0.49474938583095085,,0.41203867848748593,,0.49474938583095085,0.0,0.2797490893636756,0.4161048683577182,0.5212039398759863,0.6571887866977266,0.685338475291778,0.14098837209302326,0.0,0.5156722344517202,0.5023188375877538,0.7921116241034608,0.4703006256594716,0.8412724451683367,0.4466868580017697,97.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,,22400.0,0.0
0,42,0.75,0.25,unclipped,0.05,0.12,0.04,0.16,0.75,12,4,84,0.7356984732706952,0.8680798033396276,0.05,0.11402806844003621,0.03563715760968772,0.7184145772899038,0.06,0.025,0.6485494808737138,0.8147326411649517,0.7501754277502264,0.6420627183071279,0.9502339036669684,0.8060836244095038,12.0,0.598847470815343,0.6641948079896118,0.70340734311742,0.7286945267984575,0.7365488892322548,0.03571428571428571,0.0,0.4495386784874859,0.49474938583095085,0.7426424463482183,0.4386829833815329,0.8909289402421929,0.4800760690009047,4.0,0.3172490893636756,0.4536048683577183,0.5587039398759863,0.6946887866977266,0.7228384752917779,0.12209302325581395,0.0,0.5156722344517202,0.5023188375877538,0.8023409195343196,0.4758044040759943,0.8552554491546474,0.4532349379658678,84.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,,22400.0,0.0
0,42,0.75,0.25,unclipped,0.1,0.25,0.06,0.31,0.8064516129032258,25,6,69,0.7596588946356793,0.8830381332535164,0.26,0.234133460865049,0.05282445550585754,0.5960802168826098,0.125,0.185,0.6860494808737136,0.8147326411649517,0.7774003825951469,0.6729993520563661,0.936533843460196,0.7973324694084882,25.0,0.6363474708153428,0.7016948079896118,0.74090734311742,0.7661945267984575,0.7740488892322548,0.05357142857142857,0.008928571428571428,0.48703867848748594,0.49474938583095085,0.7757063546808899,0.4706989987029535,0.8804075917642923,0.4729196760611391,6.0,0.3547490893636756,0.4911048683577182,0.5962039398759863,0.7321887866977266,0.760338475291778,0.1002906976744186,0.0,0.5156722344517202,0.5023188375877538,0.814732075820024,0.48233600011502714,0.8638843722936375,0.4620150865462255,69.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,0.8108108108108109,22400.0,37.0
