lambda,delta,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
0.75,0.0,linear,0.07748000000000002,0.03595194211919771,0.02,0.15,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.0,geometric,0.0,0.0,0.0,0.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.0,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.05,linear,0.20864000000000002,0.045217198000263074,0.12,0.3,0.8754462853139396,0.007478453314518418,0.8617490442115238,0.8890090931402697,0.9471059812756437,0.0016911714652282494,0.9438146848671914,0.9503766798996122,0.7397415367293968,0.0405331449266883,0.6528925619834711,0.8181818181818182
0.75,0.05,geometric,0.0,0.0,0.0,0.0,0.8178383962346774,0.009916257607164487,0.7985748345544419,0.836835348153905,0.9855763427856545,0.0011764362286157575,0.9832816930775643,0.9879445371142617,0.9974870785765041,0.006874283776594622,0.9801980198019802,1.0
0.75,0.05,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9984404753961633,0.0005510934674505169,0.9972602168473726,0.9994248331943284,1.0,0.0,1.0,1.0
0.75,0.1,linear,0.25055,0.07775759605172823,0.08,0.39,0.8795108129028897,0.008266884180487634,0.8616383303253129,0.8955041398933742,0.8973808412859762,0.00338340614963621,0.8910402927990888,0.9039759503064148,0.5962490715168067,0.06376673819918714,0.4925373134328358,0.7391304347826086
0.75,0.1,geometric,0.0,0.0,0.0,0.0,0.8182462428707586,0.009671324840404881,0.7998636028015282,0.836835348153905,0.9707942702251876,0.002324925202350822,0.9661301084236862,0.9753673894912427,0.992948373605537,0.012775801293136393,0.9607843137254902,1.0
0.75,0.1,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9975221934945787,0.0009188097524229307,0.9955585904920767,0.9991537739783151,1.0,0.0,1.0,1.0
0.75,0.15,linear,0.19569,0.07914282966565883,0.03,0.35,0.8676229515779381,0.00721105810240333,0.8531142646410743,0.8814756178434238,0.8513269295853575,0.005113273254040627,0.8419541178265997,0.861389757366192,0.564789784259038,0.07378646903912449,0.4388489208633093,0.7241379310344828
0.75,0.15,geometric,0.0,0.0,0.0,0.0,0.8186679924828358,0.009460038948389071,0.8008444043165767,0.836835348153905,0.9559452210175146,0.0034708684855944668,0.9491736864053377,0.9630798582151793,0.9858998095571276,0.01962976965914772,0.941747572815534,1.0
0.75,0.15,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9971170433694745,0.0011096180920264166,0.9949121142618848,0.9990454545454543,1.0,0.0,1.0,1.0
0.75,0.2,linear,0.13133,0.0761020539973963,0.0,0.28,0.8553023810960839,0.006864856032230172,0.8423474917694581,0.8681654790103958,0.8089977938444464,0.00683268603989379,0.7962772094554685,0.8226080286063946,0.549410283661361,0.07337912768706673,0.4184397163120567,0.6949152542372882
0.75,0.2,geometric,0.0,0.0,0.0,0.0,0.8189116531849576,0.009337045498220196,0.8017071855959247,0.836835348153905,0.9413262093411174,0.004631036478686668,0.9323044203502916,0.9509427648040032,0.9781632465321204,0.02552694916670129,0.9230769230769232,1.0
0.75,0.2,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969980191826521,0.0011771281840247776,0.9946447039199331,0.999041180150125,1.0,0.0,1.0,1.0
0.75,0.25,linear,0.06827000000000001,0.064588534421976,0.0,0.22,0.8426694389202605,0.007498734554392635,0.8279018123968539,0.8581845092702752,0.7706336709733589,0.00859443757770673,0.7544130687622421,0.7877256525757067,0.532413109307384,0.0645241997762334,0.4084507042253521,0.6528925619834711
0.75,0.25,geometric,0.0,0.0,0.0,0.0,0.8189546421724633,0.00929911496265645,0.8020784512886422,0.836835348153905,0.9271405087572976,0.005766463721379696,0.9160868432026689,0.938836738949124,0.9691133288817928,0.03265219600754602,0.8867924528301887,1.0
0.75,0.25,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969888615512925,0.0011827026285318322,0.9945930984153462,0.999041180150125,1.0,0.0,1.0,1.0
0.75,0.3,linear,0.02185,0.03919200828630135,0.0,0.13024999999999978,0.8295621184920786,0.00884564906492289,0.8123034379255518,0.8469519176202416,0.7361257757720004,0.01044922565854289,0.7171288683228986,0.7568798359109956,0.49856669841447154,0.05339828895062065,0.3986013986013986,0.6
0.75,0.3,geometric,0.0,0.0,0.0,0.0,0.8187032946908925,0.009416816566305539,0.8017660191185324,0.8366056254915758,0.9135864011676396,0.006896545382690551,0.900036488740617,0.9276641993327771,0.9615750239089257,0.038064424950959484,0.8691588785046729,1.0
0.75,0.3,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969888615512925,0.0011827026285318322,0.9945930984153462,0.999041180150125,1.0,0.0,1.0,1.0
