trial,seed,veto_fraction,q_weak_threshold,lambda,delta,operator,policy_violation_rate,predictive_utility,kendall_tau,jaccard_top_k
0,42,0.2,0.25,0.5,0.0,linear,0.0,0.7707163194868185,1.0,1.0
0,42,0.2,0.25,0.5,0.0,geometric,0.0,0.7722134397087992,0.9999999999999999,1.0
0,42,0.2,0.25,0.5,0.0,min,0.0,0.7571765114954294,0.9999999999999999,1.0
0,42,0.2,0.25,0.5,0.05,linear,0.0,0.7707163194868185,0.9605261314408301,1.0
0,42,0.2,0.25,0.5,0.05,geometric,0.0,0.7722134397087992,0.9947164303586321,1.0
0,42,0.2,0.25,0.5,0.05,min,0.0,0.7571765114954294,0.9990783986655544,1.0
0,42,0.2,0.25,0.5,0.1,linear,0.0,0.7707163194868185,0.9198526789066049,1.0
0,42,0.2,0.25,0.5,0.1,geometric,0.0,0.7722134397087992,0.9891784820683902,1.0
0,42,0.2,0.25,0.5,0.1,min,0.0,0.7571765114954294,0.9987489574645536,1.0
0,42,0.2,0.25,0.5,0.15,linear,0.0,0.7707163194868185,0.8804211553194279,1.0
0,42,0.2,0.25,0.5,0.15,geometric,0.0,0.7722134397087992,0.9836321934945788,1.0
0,42,0.2,0.25,0.5,0.15,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.5,0.2,linear,0.0,0.7707163194868185,0.8444241070209093,1.0
0,42,0.2,0.25,0.5,0.2,geometric,0.0,0.7722134397087992,0.9782360300250208,1.0
0,42,0.2,0.25,0.5,0.2,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.5,0.25,linear,0.0,0.7707163194868185,0.8116508525431951,1.0
0,42,0.2,0.25,0.5,0.25,geometric,0.0,0.7722134397087992,0.9727814845704753,1.0
0,42,0.2,0.25,0.5,0.25,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.5,0.3,linear,0.0,0.7707163194868185,0.7830163366313282,1.0
0,42,0.2,0.25,0.5,0.3,geometric,0.0,0.7722134397087992,0.9673728106755629,1.0
0,42,0.2,0.25,0.5,0.3,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.75,0.0,linear,0.03,0.84519557984,1.0,1.0
0,42,0.2,0.25,0.75,0.0,geometric,0.0,0.829074167336993,0.9999999999999999,1.0
0,42,0.2,0.25,0.75,0.0,min,0.0,0.7571765114954294,0.9999999999999999,1.0
0,42,0.2,0.25,0.75,0.05,linear,0.12,0.8680798033396276,0.9486341205091939,0.7699115044247787
0,42,0.2,0.25,0.75,0.05,geometric,0.0,0.829074167336993,0.9867055879899915,1.0
0,42,0.2,0.25,0.75,0.05,min,0.0,0.7571765114954294,0.9990783986655544,1.0
0,42,0.2,0.25,0.75,0.1,linear,0.18,0.8748691385236812,0.9004804003870761,0.5873015873015873
0,42,0.2,0.25,0.75,0.1,geometric,0.0,0.829074167336993,0.9731025854879064,1.0
0,42,0.2,0.25,0.75,0.1,min,0.0,0.7571765114954294,0.9987489574645536,1.0
0,42,0.2,0.25,0.75,0.15,linear,0.12,0.8650689906912361,0.8561759208250328,0.5748031496062992
0,42,0.2,0.25,0.75,0.15,geometric,0.0,0.829074167336993,0.9596038365304419,1.0
0,42,0.2,0.25,0.75,0.15,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.75,0.2,linear,0.09,0.858528233254296,0.8189188959997794,0.5748031496062992
0,42,0.2,0.25,0.75,0.2,geometric,0.0,0.8301934769922089,0.9464595496246871,0.9801980198019802
0,42,0.2,0.25,0.75,0.2,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.75,0.25,linear,0.06,0.8520762559419723,0.7858428981677071,0.5748031496062992
0,42,0.2,0.25,0.75,0.25,geometric,0.0,0.8301934769922089,0.9338240200166804,0.9801980198019802
0,42,0.2,0.25,0.75,0.25,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.75,0.3,linear,0.0,0.8403947788395918,0.7548733741013769,0.5748031496062992
0,42,0.2,0.25,0.75,0.3,geometric,0.0,0.8302869606025794,0.9211467889908255,0.9607843137254902
0,42,0.2,0.25,0.75,0.3,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.9,0.0,linear,0.4,0.905593124340691,1.0,1.0
0,42,0.2,0.25,0.9,0.0,geometric,0.0,0.8547103733233673,0.9999999999999999,1.0
0,42,0.2,0.25,0.9,0.0,min,0.0,0.7571765114954294,0.9999999999999999,1.0
0,42,0.2,0.25,0.9,0.05,linear,0.56,0.9130920772405731,0.9547883362674178,0.6949152542372882
0,42,0.2,0.25,0.9,0.05,geometric,0.0,0.8586909681587933,0.9826605504587154,0.9230769230769231
0,42,0.2,0.25,0.9,0.05,min,0.0,0.7571765114954294,0.9990783986655544,1.0
0,42,0.2,0.25,0.9,0.1,linear,0.7,0.9107330622475636,0.9132897435984378,0.4925373134328358
0,42,0.2,0.25,0.9,0.1,geometric,0.0,0.8607366707927536,0.9652710592160133,0.7857142857142857
0,42,0.2,0.25,0.9,0.1,min,0.0,0.7571765114954294,0.9987489574645536,1.0
0,42,0.2,0.25,0.9,0.15,linear,0.78,0.9015263080484053,0.8749908980578351,0.35135135135135137
0,42,0.2,0.25,0.9,0.15,geometric,0.0,0.8600629108358653,0.9477689741451207,0.7699115044247787
0,42,0.2,0.25,0.9,0.15,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.9,0.2,linear,0.73,0.8813646396126802,0.8416134932530471,0.25
0,42,0.2,0.25,0.9,0.2,geometric,0.0,0.8571899085765747,0.9314345287739781,0.7241379310344828
0,42,0.2,0.25,0.9,0.2,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.9,0.25,linear,0.7,0.8666831723803722,0.8126630879673985,0.19760479041916168
0,42,0.2,0.25,0.9,0.25,geometric,0.0,0.8510219279408614,0.9156380316930774,0.6666666666666666
0,42,0.2,0.25,0.9,0.25,min,0.0,0.7571765114954294,0.998740617180984,1.0
0,42,0.2,0.25,0.9,0.3,linear,0.67,0.8497201306121427,0.7869316317651542,0.1834319526627219
0,42,0.2,0.25,0.9,0.3,geometric,0.0,0.8360681338071189,0.9007756463719765,0.5748031496062992
0,42,0.2,0.25,0.9,0.3,min,0.0,0.7571765114954294,0.998740617180984,1.0
1,43,0.2,0.25,0.5,0.0,linear,0.0,0.7669271794095238,1.0,1.0
1,43,0.2,0.25,0.5,0.0,geometric,0.0,0.7635125362945893,0.9999999999999999,1.0
1,43,0.2,0.25,0.5,0.0,min,0.0,0.7448821381783003,0.9999999999999999,1.0
1,43,0.2,0.25,0.5,0.05,linear,0.0,0.7669271794095238,0.9620235717043384,1.0
1,43,0.2,0.25,0.5,0.05,geometric,0.0,0.7635125362945893,0.9935613010842368,1.0
1,43,0.2,0.25,0.5,0.05,min,0.0,0.7448821381783003,0.9979357798165137,1.0
1,43,0.2,0.25,0.5,0.1,linear,0.0,0.7669271794095238,0.9235839575385482,1.0
1,43,0.2,0.25,0.5,0.1,geometric,0.0,0.7635125362945893,0.9872143452877397,1.0
1,43,0.2,0.25,0.5,0.1,min,0.0,0.7448821381783003,0.9969599666388657,1.0
1,43,0.2,0.25,0.5,0.15,linear,0.0,0.7669271794095238,0.8855053458564481,1.0
1,43,0.2,0.25,0.5,0.15,geometric,0.0,0.7635125362945893,0.9808632193494577,1.0
1,43,0.2,0.25,0.5,0.15,min,0.0,0.7448821381783003,0.9965429524603835,1.0
1,43,0.2,0.25,0.5,0.2,linear,0.0,0.7669271794095238,0.8477767065924593,1.0
1,43,0.2,0.25,0.5,0.2,geometric,0.0,0.7635125362945893,0.9748373644703919,1.0
1,43,0.2,0.25,0.5,0.2,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.5,0.25,linear,0.0,0.7669271794095238,0.8103312619906909,1.0
1,43,0.2,0.25,0.5,0.25,geometric,0.0,0.7635125362945893,0.9685487906588823,1.0
1,43,0.2,0.25,0.5,0.25,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.5,0.3,linear,0.0,0.7669271794095238,0.7759978367653225,1.0
1,43,0.2,0.25,0.5,0.3,geometric,0.0,0.7635125362945893,0.9626271893244368,1.0
1,43,0.2,0.25,0.5,0.3,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.75,0.0,linear,0.02,0.8530686308763528,1.0,1.0
1,43,0.2,0.25,0.75,0.0,geometric,0.0,0.8364731516823304,0.9999999999999999,1.0
1,43,0.2,0.25,0.75,0.0,min,0.0,0.7448821381783003,0.9999999999999999,1.0
1,43,0.2,0.25,0.75,0.05,linear,0.13,0.8819547757327167,0.9460221140477088,0.7094017094017094
1,43,0.2,0.25,0.75,0.05,geometric,0.0,0.8364731516823304,0.984762301918265,1.0
1,43,0.2,0.25,0.75,0.05,min,0.0,0.7448821381783003,0.9979357798165137,1.0
1,43,0.2,0.25,0.75,0.1,linear,0.07,0.8723265642407868,0.8947370500902339,0.680672268907563
1,43,0.2,0.25,0.75,0.1,geometric,0.0,0.8364731516823304,0.9696663886572142,1.0
1,43,0.2,0.25,0.75,0.1,min,0.0,0.7448821381783003,0.9969599666388657,1.0
1,43,0.2,0.25,0.75,0.15,linear,0.03,0.8663512573067842,0.8474418804039925,0.680672268907563
1,43,0.2,0.25,0.75,0.15,geometric,0.0,0.8364731516823304,0.9555045871559631,1.0
1,43,0.2,0.25,0.75,0.15,min,0.0,0.7448821381783003,0.9965429524603835,1.0
1,43,0.2,0.25,0.75,0.2,linear,0.0,0.861465783728207,0.8026290966679864,0.6666666666666666
1,43,0.2,0.25,0.75,0.2,geometric,0.0,0.8364731516823304,0.9411801501251041,1.0
1,43,0.2,0.25,0.75,0.2,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.75,0.25,linear,0.0,0.8608052865520291,0.7618139002603475,0.6129032258064516
1,43,0.2,0.25,0.75,0.25,geometric,0.0,0.8364731516823304,0.9270975813177647,1.0
1,43,0.2,0.25,0.75,0.25,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.75,0.3,linear,0.0,0.857350671647279,0.7270902908429191,0.5748031496062992
1,43,0.2,0.25,0.75,0.3,geometric,0.0,0.8364731516823304,0.9135821517931608,1.0
1,43,0.2,0.25,0.75,0.3,min,0.0,0.7448821381783003,0.9964053377814844,1.0
1,43,0.2,0.25,0.9,0.0,linear,0.39,0.9192128204485003,1.0,1.0
1,43,0.2,0.25,0.9,0.0,geometric,0.0,0.864735277314063,0.9999999999999999,1.0
1,43,0.2,0.25,0.9,0.0,min,0.0,0.7448821381783003,0.9999999999999999,1.0
1,43,0.2,0.25,0.9,0.05,linear,0.49,0.9232286448957433,0.9487931372455034,0.8018018018018018
1,43,0.2,0.25,0.9,0.05,geometric,0.0,0.8702279701190966,0.9804920767306088,0.8867924528301887
1,43,0.2,0.25,0.9,0.05,min,0.0,0.7448821381783003,0.9979357798165137,1.0
