sigma_r,top_k,clipped_non_veto_top_k_share_mean,clipped_non_veto_top_k_share_std,clipped_non_veto_top_k_share_ci_low,clipped_non_veto_top_k_share_ci_high,vetoed_top_k_share_mean,vetoed_top_k_share_std,vetoed_top_k_share_ci_low,vetoed_top_k_share_ci_high,other_top_k_share_mean,other_top_k_share_std,other_top_k_share_ci_low,other_top_k_share_ci_high
0.0,10,0.0,0.0,0.0,0.0,0.048,0.084042031526273,0.0,0.3,0.952,0.08404203152627299,0.7,1.0
0.0,20,0.0,0.0,0.0,0.0,0.2028,0.10643537235566233,0.05,0.45,0.7972,0.10643537235566233,0.55,0.95
0.0,30,0.0,0.0,0.0,0.0,0.29656666666666665,0.09271298079513476,0.13333333333333333,0.5,0.7034333333333332,0.09271298079513479,0.5,0.8666666666666667
0.0,40,0.0,0.0,0.0,0.0,0.35280000000000006,0.07995969955892501,0.2,0.5,0.6472,0.07995969955892501,0.5,0.8
0.0,50,0.0,0.0,0.0,0.0,0.3890600000000001,0.07072282600489123,0.25950000000000006,0.52,0.61094,0.07072282600489123,0.48,0.7404999999999995
0.0,60,0.0,0.0,0.0,0.0,0.4136833333333334,0.06309448446199621,0.2833333333333333,0.5333333333333333,0.5863166666666667,0.0630944844619962,0.4666666666666667,0.7166666666666667
0.0,70,0.0,0.0,0.0,0.0,0.43204285714285723,0.058412099790825886,0.3142857142857143,0.5428571428571428,0.5679571428571428,0.0584120997908259,0.45714285714285713,0.6857142857142857
0.0,80,0.0,0.0,0.0,0.0,0.4451125,0.05452801480109236,0.3375,0.55,0.5548875000000001,0.05452801480109237,0.45,0.6625
0.0,90,0.0,0.0,0.0,0.0,0.45467777777777785,0.051373886263061865,0.35555555555555557,0.5447222222222219,0.545322222222222,0.05137388626306187,0.4552777777777778,0.6444444444444445
0.0,100,0.0,0.0,0.0,0.0,0.46188,0.04728743703883413,0.37,0.55,0.53812,0.047287437038834125,0.45,0.63
0.05,10,0.26030000000000003,0.15230596543506464,0.0,0.6,0.0296,0.0853881205504087,0.0,0.3,0.7101000000000001,0.15809169169498752,0.4,1.0
0.05,20,0.1408,0.08522102218714947,0.0,0.30124999999999885,0.28609999999999997,0.13205767387482345,0.0,0.5,0.5731000000000002,0.12725007890992673,0.35,0.85
0.05,30,0.09390000000000001,0.05682739379928797,0.0,0.2008333333333326,0.3650666666666666,0.08673373345069423,0.2,0.5333333333333333,0.5410333333333333,0.09042491051817522,0.36666666666666664,0.7
0.05,40,0.07042500000000002,0.04262054534946597,0.0,0.15062499999999943,0.39230000000000004,0.07408575233267661,0.25,0.525,0.537275,0.0758498686721182,0.4,0.675
0.05,50,0.05634,0.03409643627957278,0.0,0.12049999999999954,0.41086,0.06674515199859324,0.28,0.54,0.5328,0.06733122227832711,0.4,0.66
0.05,60,0.046950000000000006,0.028413696899643986,0.0,0.1004166666666663,0.42458333333333337,0.06068734453838341,0.3,0.5333333333333333,0.5284666666666665,0.06159092734502468,0.4166666666666667,0.65
0.05,70,0.04024285714285715,0.024354597342551985,0.0,0.08607142857142824,0.4342142857142857,0.056562502274938094,0.32821428571428574,0.5428571428571428,0.5255428571428571,0.05640713272064644,0.4142857142857143,0.6285714285714286
0.05,80,0.03521250000000001,0.021310272674732986,0.0,0.07531249999999971,0.44291250000000004,0.053361583112781635,0.3375,0.55,0.521875,0.05335863584293567,0.425,0.625
0.05,90,0.031299999999999994,0.018942464599762655,0.0,0.0669444444444442,0.44991111111111115,0.04990622083259131,0.35555555555555557,0.5447222222222219,0.5187888888888889,0.04994283488040796,0.4222222222222222,0.6222222222222222
0.05,100,0.02817,0.01704821813978639,0.0,0.06024999999999977,0.45512,0.04659782137564972,0.36,0.54,0.51671,0.046847311241634465,0.43,0.61
0.1,10,0.6593,0.16093293450816526,0.3,0.9,0.0,0.0,0.0,0.0,0.3407,0.16093293450816523,0.1,0.7
0.1,20,0.49925,0.1288353058599856,0.25,0.75,0.01925,0.05540764845675648,0.0,0.2,0.4815,0.12077804989871851,0.25,0.7
0.1,30,0.3584,0.1035596883613404,0.16666666666666666,0.5666666666666667,0.19146666666666667,0.1372322176839657,0.0,0.4666666666666667,0.45013333333333333,0.10728126243323793,0.23333333333333334,0.6333333333333333
0.1,40,0.26947499999999996,0.07876422524330559,0.125,0.425,0.369875,0.10441629248894607,0.15,0.55,0.36064999999999997,0.08170528289684366,0.2,0.525
0.1,50,0.21558000000000005,0.06301138019464447,0.1,0.34,0.42560000000000003,0.07222365440945408,0.28,0.56,0.35882,0.06826175552435834,0.24,0.5
0.1,60,0.17964999999999998,0.052509483495537065,0.08333333333333333,0.2833333333333333,0.4325333333333333,0.0620563354263231,0.3,0.55,0.3878166666666667,0.06300116385152459,0.26666666666666666,0.5166666666666667
0.1,70,0.15398571428571425,0.04500812871046034,0.07142857142857142,0.24285714285714285,0.43582857142857145,0.05729269643951319,0.32857142857142857,0.5428571428571428,0.4101857142857143,0.05827323092906639,0.3,0.5285714285714286
