sigma_r,config_id,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
0.0,geometric@0.10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,geometric@0.50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,geometric@0.90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,linear@0.10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,linear@0.50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,linear@0.90,0.46188,0.04728743703883413,0.37,0.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.05,geometric@0.10,0.0,0.0,0.0,0.0,0.880136956719689,0.017446173182993265,0.8409231028756788,0.9109135439089752,0.9327909740365514,0.025217732174039234,0.8867924528301887,0.9801980198019802
0.05,geometric@0.50,0.0,0.0,0.0,0.0,0.694775812522689,0.03350513411886368,0.6241505266734625,0.7545553611139831,0.8216873869850624,0.034636053220957044,0.7543859649122807,0.8867924528301887
0.05,geometric@0.90,0.0,0.0,0.0,0.0,0.5129268525895432,0.04511866667622532,0.41711493064178645,0.5932555743304074,0.7292651350486501,0.03966633058842294,0.6528925619834711,0.8018018018018018
0.05,linear@0.10,0.0,0.0,0.0,0.0,0.9305207859125147,0.009066722125030381,0.9122430039977156,0.9471947194719472,0.9634684305055956,0.018872359559034175,0.9230769230769232,1.0
0.05,linear@0.50,0.0,0.0,0.0,0.0,0.6814637840297767,0.03424352238276978,0.6099902688136271,0.7425129758615997,0.8103721439622741,0.03591911840043176,0.7391304347826086,0.8867924528301887
0.05,linear@0.90,0.45512,0.04659782137564972,0.36,0.54,0.297625843659393,0.05516710051423224,0.18387278515823527,0.4079710613029131,0.6054297036278908,0.04208996204600062,0.5267175572519084,0.680672268907563
0.05,min,0.0,0.0,0.0,0.0,0.6996076795588279,0.04151122018675879,0.6113158591587794,0.7752089492957699,0.8386895287474901,0.035616701292110045,0.7699115044247787,0.9047619047619048
0.1,geometric@0.10,0.0,0.0,0.0,0.0,0.7743932399647288,0.030827117900523334,0.706572369028726,0.8260256410256408,0.8773863232926005,0.03244485074275706,0.8181818181818182,0.941747572815534
0.1,geometric@0.50,0.0,0.0,0.0,0.0,0.47209267646837755,0.04527118133780816,0.3825680534155111,0.5544363370634557,0.6841977076889195,0.04153028642323852,0.6,0.7699115044247787
0.1,geometric@0.90,0.0,0.0,0.0,0.0,0.2307710342172215,0.05634167631386221,0.12684951270922876,0.33789662905040085,0.5499506559417974,0.04161210753165073,0.4705882352941176,0.6260162601626016
0.1,linear@0.10,0.0,0.0,0.0,0.0,0.8664294304754138,0.01595308153889049,0.8332286312583288,0.8939519708681318,0.9300134351651977,0.024498361879283784,0.8691588785046729,0.9801980198019802
0.1,linear@0.50,0.0,0.0,0.0,0.0,0.45354573965700196,0.04545284821977353,0.36530054644808735,0.5387656171914043,0.6671672924177097,0.04085998483195612,0.5873015873015873,0.7543859649122807
0.1,linear@0.90,0.44304000000000004,0.04603561314545161,0.35,0.53,0.023150665751611454,0.05685538063573204,-0.08466490705568856,0.13265696679250885,0.4144177030195334,0.038009127060324735,0.3422818791946309,0.4925373134328358
0.1,min,0.0,0.0,0.0,0.0,0.4752365729303157,0.05360198767317413,0.36743335998933746,0.5747052582398667,0.7157350304252037,0.040143397705170454,0.639344262295082,0.8018018018018018
0.2,geometric@0.10,0.0,0.0,0.0,0.0,0.6013154713669907,0.04583888087436277,0.5036659796795873,0.6874143576437153,0.7792415042547093,0.03841917136972902,0.7090395480225989,0.8518518518518519
0.2,geometric@0.50,0.0,0.0,0.0,0.0,0.18873807947011517,0.05484375980237814,0.08120376937886305,0.29280397202258107,0.5010627503699411,0.04079949627355826,0.4285714285714285,0.5873015873015873
0.2,geometric@0.90,0.0,0.0,0.0,0.0,-0.04463719469518874,0.0522607976253669,-0.14153097569921425,0.059977084299576724,0.3519402021918799,0.03649471749379243,0.282051282051282,0.4285714285714285
0.2,linear@0.10,0.0,0.0,0.0,0.0,0.7565088237969837,0.025296704707777076,0.7026986076986076,0.8034052391308606,0.8710797644145548,0.03172849765442062,0.8018018018018018,0.9230769230769232
0.2,linear@0.50,0.0,0.0,0.0,0.0,0.17336375954415462,0.05329251113245487,0.06959942711732912,0.27704652528369905,0.47865530928147426,0.04068044196088864,0.4084507042253521,0.5625
0.2,linear@0.90,0.39658000000000004,0.054913742534261116,0.27,0.49,-0.23514653064056154,0.050246826287458746,-0.3286647378621765,-0.13302322934302935,0.25367761772772607,0.03287982397612761,0.1904761904761904,0.3245033112582781
0.2,min,0.0,0.0,0.0,0.0,0.186192782982106,0.06325831771575482,0.061779903158561564,0.3099738863287251,0.5401584812042401,0.043619528905949875,0.4598540145985401,0.6260162601626016
