trial,seed,sigma_r,config_id,operator,lambda,policy_violation_rate,kendall_tau,jaccard_top_k
0,42,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
0,42,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
0,42,0.0,linear@0.90,linear,0.9,0.4,1.0,1.0
0,42,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
0,42,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
0,42,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
0,42,0.0,min,min,,0.0,1.0,1.0
0,42,0.05,linear@0.10,linear,0.1,0.0,0.9268686868686871,1.0
0,42,0.05,linear@0.50,linear,0.5,0.0,0.6937447873227689,0.8181818181818182
0,42,0.05,linear@0.90,linear,0.9,0.43,0.2646805868892282,0.5625
0,42,0.05,geometric@0.10,geometric,0.1,0.0,0.8854591341487089,0.9607843137254902
0,42,0.05,geometric@0.50,geometric,0.5,0.0,0.7147802007615092,0.8518518518518519
0,42,0.05,geometric@0.90,geometric,0.9,0.0,0.5457227138643068,0.7543859649122807
0,42,0.05,min,min,,0.0,0.7666168782673637,0.9230769230769231
0,42,0.1,linear@0.10,linear,0.1,0.0,0.8769230769230768,0.9047619047619048
0,42,0.1,linear@0.50,linear,0.5,0.0,0.4770404271548437,0.7391304347826086
0,42,0.1,linear@0.90,linear,0.9,0.42,0.02555636346120974,0.4084507042253521
0,42,0.1,geometric@0.10,geometric,0.1,0.0,0.8150183150183149,0.9047619047619048
0,42,0.1,geometric@0.50,geometric,0.5,0.0,0.5096525096525095,0.7857142857142857
0,42,0.1,geometric@0.90,geometric,0.9,0.0,0.2072504331600693,0.6260162601626016
0,42,0.1,min,min,,0.0,0.5408622908622908,0.7857142857142857
0,42,0.2,linear@0.10,linear,0.1,0.0,0.7684319833852543,0.8518518518518519
0,42,0.2,linear@0.50,linear,0.5,0.0,0.2599321705426357,0.5503875968992248
0,42,0.2,linear@0.90,linear,0.9,0.45,-0.24533278176087153,0.21951219512195122
0,42,0.2,geometric@0.10,geometric,0.1,0.0,0.655600969834162,0.8181818181818182
0,42,0.2,geometric@0.50,geometric,0.5,0.0,0.27093364650616564,0.5267175572519084
0,42,0.2,geometric@0.90,geometric,0.9,0.0,-0.0189891355692017,0.3698630136986301
0,42,0.2,min,min,,0.0,0.32160433070866146,0.5625
1,43,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
1,43,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
1,43,0.0,linear@0.90,linear,0.9,0.39,1.0,1.0
1,43,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
1,43,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
1,43,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
1,43,0.0,min,min,,0.0,1.0,1.0
1,43,0.05,linear@0.10,linear,0.1,0.0,0.9120502569960024,0.941747572815534
1,43,0.05,linear@0.50,linear,0.5,0.0,0.6578321440706763,0.8348623853211009
1,43,0.05,linear@0.90,linear,0.9,0.39,0.20746655917852883,0.6666666666666666
1,43,0.05,geometric@0.10,geometric,0.1,0.0,0.8558625840179238,0.9230769230769231
1,43,0.05,geometric@0.50,geometric,0.5,0.0,0.710159700985389,0.8348623853211009
