trial,seed,sigma_r,operator_a,operator_b,kendall_tau,jaccard_top_k
0,42,0.0,linear@0.10,linear@0.50,0.08086279917265832,0.3986013986013986
0,42,0.0,linear@0.10,linear@0.90,-0.25464159811985904,0.08108108108108109
0,42,0.0,linear@0.10,geometric@0.10,0.8063200815494395,0.8348623853211009
0,42,0.0,linear@0.10,geometric@0.50,0.071455938697318,0.3793103448275862
0,42,0.0,linear@0.10,geometric@0.90,-0.24143029977147468,0.15606936416184972
0,42,0.0,linear@0.10,min,0.040658687717511244,0.2987012987012987
0,42,0.0,linear@0.50,linear@0.90,0.04308176100628931,0.25
0,42,0.0,linear@0.50,geometric@0.10,0.14016714270601924,0.4492753623188406
0,42,0.0,linear@0.50,geometric@0.50,0.9112887873596041,0.941747572815534
0,42,0.0,linear@0.50,geometric@0.90,0.2095631016608484,0.4492753623188406
0,42,0.0,linear@0.50,min,0.4973580815607641,0.639344262295082
0,42,0.0,linear@0.90,geometric@0.10,-0.2981502436833905,0.08695652173913043
0,42,0.0,linear@0.90,geometric@0.50,-0.03764846217268335,0.2422360248447205
0,42,0.0,linear@0.90,geometric@0.90,0.3759167236666668,0.42857142857142855
0,42,0.0,linear@0.90,min,-0.09158660340433221,0.1695906432748538
0,42,0.0,geometric@0.10,geometric@0.50,0.13114080164439876,0.42857142857142855
0,42,0.0,geometric@0.10,geometric@0.90,-0.21344040574809808,0.1834319526627219
0,42,0.0,geometric@0.10,min,0.09740613096317793,0.3422818791946309
0,42,0.0,geometric@0.50,geometric@0.90,0.17151496194348867,0.43884892086330934
0,42,0.0,geometric@0.50,min,0.5547642785927931,0.680672268907563
0,42,0.0,geometric@0.90,min,0.08724832214765099,0.3422818791946309
0,42,0.05,linear@0.10,linear@0.50,0.05883528119069023,0.4084507042253521
0,42,0.05,linear@0.10,linear@0.90,-0.255026455026455,0.08108108108108109
0,42,0.05,linear@0.10,geometric@0.10,0.773970231914157,0.8518518518518519
0,42,0.05,linear@0.10,geometric@0.50,0.05147630147630148,0.3888888888888889
0,42,0.05,linear@0.10,geometric@0.90,-0.2543352601156069,0.15606936416184972
0,42,0.05,linear@0.10,min,0.04643069348951701,0.2987012987012987
0,42,0.05,linear@0.50,linear@0.90,0.038753741078965544,0.2345679012345679
0,42,0.05,linear@0.50,geometric@0.10,0.13762826615889137,0.4492753623188406
0,42,0.05,linear@0.50,geometric@0.50,0.8700522778192682,0.9230769230769231
0,42,0.05,linear@0.50,geometric@0.90,0.2226806304876759,0.4492753623188406
0,42,0.05,linear@0.50,min,0.45041269841269843,0.5873015873015873
0,42,0.05,linear@0.90,geometric@0.10,-0.29016552371062665,0.08695652173913043
0,42,0.05,linear@0.90,geometric@0.50,-0.05262841268893661,0.21951219512195122
0,42,0.05,linear@0.90,geometric@0.90,0.3238256287661797,0.3888888888888889
0,42,0.05,linear@0.90,min,-0.12051274798442642,0.14942528735632185
0,42,0.05,geometric@0.10,geometric@0.50,0.1333541862162444,0.43884892086330934
0,42,0.05,geometric@0.10,geometric@0.90,-0.21531500174034116,0.17647058823529413
0,42,0.05,geometric@0.10,min,0.12352621077453291,0.3422818791946309
0,42,0.05,geometric@0.50,geometric@0.90,0.1747173689619733,0.42857142857142855
0,42,0.05,geometric@0.50,min,0.5388158786072348,0.639344262295082
0,42,0.05,geometric@0.90,min,0.05682326621923937,0.3333333333333333
0,42,0.1,linear@0.10,linear@0.50,0.04486118771833058,0.35135135135135137
0,42,0.1,linear@0.10,linear@0.90,-0.27778750218799225,0.07526881720430108
0,42,0.1,linear@0.10,geometric@0.10,0.7939852207736241,0.8348623853211009
0,42,0.1,linear@0.10,geometric@0.50,0.04025907464414328,0.36054421768707484
0,42,0.1,linear@0.10,geometric@0.90,-0.2732437848365106,0.14285714285714285
0,42,0.1,linear@0.10,min,0.03741130943041803,0.30718954248366015
0,42,0.1,linear@0.50,linear@0.90,0.008060692271218587,0.25
0,42,0.1,linear@0.50,geometric@0.10,0.11043566362715299,0.41843971631205673
0,42,0.1,linear@0.50,geometric@0.50,0.8772893772893773,0.9047619047619048
0,42,0.1,linear@0.50,geometric@0.90,0.18353961705278748,0.4492753623188406
0,42,0.1,linear@0.50,min,0.4747899159663865,0.6666666666666666
0,42,0.1,linear@0.90,geometric@0.10,-0.32178699309805625,0.09289617486338798
0,42,0.1,linear@0.90,geometric@0.50,-0.07637804924885969,0.21951219512195122
0,42,0.1,linear@0.90,geometric@0.90,0.3362957809558137,0.4084507042253521
0,42,0.1,linear@0.90,min,-0.13844255504557226,0.16279069767441862
0,42,0.1,geometric@0.10,geometric@0.50,0.10999895735585444,0.43884892086330934
0,42,0.1,geometric@0.10,geometric@0.90,-0.25053950574312567,0.17647058823529413
0,42,0.1,geometric@0.10,min,0.11441336441336442,0.3888888888888889
0,42,0.1,geometric@0.50,geometric@0.90,0.12715453560523982,0.3986013986013986
0,42,0.1,geometric@0.50,min,0.5554538520213579,0.7391304347826086
0,42,0.1,geometric@0.90,min,0.019344719414430115,0.3157894736842105
0,42,0.2,linear@0.10,linear@0.50,0.05574712643678161,0.3793103448275862
0,42,0.2,linear@0.10,linear@0.90,-0.27154957648231187,0.08695652173913043
0,42,0.2,linear@0.10,geometric@0.10,0.8003464283370753,0.8518518518518519
0,42,0.2,linear@0.10,geometric@0.50,0.03200153432957075,0.3793103448275862
0,42,0.2,linear@0.10,geometric@0.90,-0.25082576917637417,0.1695906432748538
0,42,0.2,linear@0.10,min,0.07599355805671776,0.3333333333333333
0,42,0.2,linear@0.50,linear@0.90,0.034662751814697,0.2345679012345679
0,42,0.2,linear@0.50,geometric@0.10,0.11377484766756567,0.4084507042253521
0,42,0.2,linear@0.50,geometric@0.50,0.8859049207673059,0.8181818181818182
0,42,0.2,linear@0.50,geometric@0.90,0.2386954118297402,0.48148148148148145
