sigma_q,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,veto_preservation_rate_mean,veto_preservation_rate_std,veto_preservation_rate_ci_low,veto_preservation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,n_veto_topk_mean,n_veto_topk_std,n_veto_topk_ci_low,n_veto_topk_ci_high,n_weak_nv_topk_mean,n_weak_nv_topk_std,n_weak_nv_topk_ci_low,n_weak_nv_topk_ci_high,n_normal_topk_mean,n_normal_topk_std,n_normal_topk_ci_low,n_normal_topk_ci_high,frac_veto_topk_mean,frac_veto_topk_std,frac_veto_topk_ci_low,frac_veto_topk_ci_high,frac_weak_nv_topk_mean,frac_weak_nv_topk_std,frac_weak_nv_topk_ci_low,frac_weak_nv_topk_ci_high,frac_normal_topk_mean,frac_normal_topk_std,frac_normal_topk_ci_low,frac_normal_topk_ci_high,e_weak_context_mean,e_weak_context_std,e_weak_context_ci_low,e_weak_context_ci_high,observed_veto_rate_mean,observed_veto_rate_std,observed_veto_rate_ci_low,observed_veto_rate_ci_high,false_negative_veto_rate_mean,false_negative_veto_rate_std,false_negative_veto_rate_ci_low,false_negative_veto_rate_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
0.0,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961,0.0,0.0,0.0,0.0,0.011,0.11354246734985063,0.0,0.0,99.989,0.11354246734985061,100.0,100.0,0.0,0.0,0.0,0.0,0.00011,0.0011354246734985062,0.0,0.0,0.9998900000000001,0.001135424673498507,1.0,1.0,0.00011,0.0011354246734985062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,linear,0.07748000000000002,0.03595194211919771,0.02,0.15,0.92252,0.035951942119197694,0.85,0.98,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862,7.748,3.5951942119197704,2.0,15.0,2.851,1.6660055745928866,0.0,6.0,89.401,3.943063117266416,81.0,96.02499999999998,0.07748000000000002,0.03595194211919771,0.02,0.15,0.02851,0.016660055745928867,0.0,0.06,0.89401,0.03943063117266416,0.81,0.9602499999999997,0.10599000000000001,0.03943063117266416,0.039750000000000014,0.19,0.07748000000000002,0.03595194211919771,0.02,0.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.05,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8168910225289404,0.01006312818688767,0.7972689763220253,0.8372262744289893,0.0,0.0,0.0,0.0,0.181,0.43638220567460057,0.0,1.0,99.819,0.43638220567460057,99.0,100.0,0.0,0.0,0.0,0.0,0.00181,0.004363822056746006,0.0,0.01,0.99819,0.00436382205674601,0.99,1.0,0.00181,0.004363822056746006,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515734894051815,0.010167909701317352,0.8317494019333654,0.8703201477035405,0.8819923553633005,0.030305739033279024,0.8181818181818182,0.941747572815534
0.05,linear,0.09575000000000002,0.03668219027107136,0.03,0.1702499999999998,0.90425,0.03668219027107136,0.82975,0.97,0.8526903395166726,0.007913839537813046,0.8383736105297734,0.8681676252259338,9.575,3.668219027107137,3.0,17.024999999999977,2.761,1.6675310071059128,0.0,6.024999999999977,87.664,3.9948796055780034,79.0,95.0,0.09575000000000002,0.03668219027107136,0.03,0.1702499999999998,0.027610000000000003,0.016675310071059126,0.0,0.06024999999999977,0.8766400000000001,0.039948796055780035,0.79,0.95,0.12336000000000001,0.039948796055780035,0.05,0.21,0.032850000000000004,0.02093360254986503,0.0,0.08,0.06300000000000001,0.027385214075298918,0.02,0.12,0.957817933933934,0.0014676723069246757,0.9548260260260262,0.9605770770770773,0.8752276360235993,0.03155130683592996,0.8181818181818182,0.941747572815534
0.05,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443739854110113,0.011684822170463764,0.7217792246796864,0.7667735470459934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9118009877003423,0.0037366105823913812,0.9042462434446954,0.9185740957993137,0.8390137388905098,0.034355133666131146,0.7699115044247787,0.9047619047619048
0.1,geometric,0.00128,0.0036020236776810027,0.0,0.01,0.99872,0.003602023677681006,0.99,1.0,0.8155144582061989,0.01013510076923623,0.7956094691206606,0.8351274085821989,0.128,0.3602023677681002,0.0,1.0,0.701,0.8719858710778284,0.0,3.0,99.171,0.9521899315082395,97.0,100.0,0.00128,0.0036020236776810027,0.0,0.01,0.00701,0.008719858710778286,0.0,0.03,0.9917100000000002,0.009521899315082401,0.97,1.0,0.008289999999999999,0.009521899315082395,0.0,0.03,0.0,0.0,0.0,0.0,0.00128,0.0036020236776810027,0.0,0.01,0.7719280682521037,0.013413101363052377,0.7449212433784046,0.7986663126262378,0.7833428984972766,0.0383930323731514,0.7094017094017094,0.8518518518518519
0.1,linear,0.11568,0.038972508983339225,0.04,0.2,0.8843199999999999,0.038972508983339225,0.8,0.96,0.8534075563992176,0.008063276100506786,0.8379310262761286,0.8689845853903456,11.568,3.8972508983339225,4.0,20.0,2.781,1.6588522510431092,0.0,6.0,85.651,4.2286026155315275,77.0,93.0,0.11568,0.038972508983339225,0.04,0.2,0.02781,0.01658852251043109,0.0,0.06,0.85651,0.042286026155315286,0.77,0.93,0.14349,0.042286026155315286,0.07,0.23,0.025990000000000003,0.01893088160330306,0.0,0.07,0.08990000000000001,0.03130447204426182,0.03,0.16,0.9172450410410411,0.0027403917979498755,0.9116328328328329,0.9223824824824824,0.7675903488588395,0.03883803484387983,0.6949152542372882,0.8348623853211009
0.1,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7460756586334832,0.011333624671883983,0.7249887212822212,0.768927086666456,0.0,0.0,0.0,0.0,0.004,0.06315051850925682,0.0,0.0,99.996,0.0631505185092568,100.0,100.0,0.0,0.0,0.0,0.0,4e-05,0.0006315051850925683,0.0,0.0,0.9999600000000001,0.0006315051850925687,1.0,1.0,4e-05,0.0006315051850925683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8328116103053221,0.007388573289771979,0.8186061229228863,0.8475920948078616,0.7141745442132724,0.04131232216288355,0.639344262295082,0.8018018018018018
0.15,geometric,0.01579,0.012749056374431736,0.0,0.04,0.98421,0.012749056374431746,0.96,1.0,0.8153463056184341,0.009786474048052765,0.7968967301670274,0.8351352876787523,1.579,1.2749056374431735,0.0,4.0,1.417,1.1825859417012827,0.0,4.0,97.004,1.714328709122881,93.0,100.0,0.01579,0.012749056374431736,0.0,0.04,0.014170000000000002,0.011825859417012826,0.0,0.04,0.9700400000000002,0.017143287091228816,0.93,1.0,0.02996,0.01714328709122881,0.0,0.07,0.0,0.0,0.0,0.0,0.01579,0.012749056374431736,0.0,0.04,0.7035600603411739,0.01644141638391802,0.6695261767193762,0.7347793722260451,0.6955236255181244,0.04052469718581513,0.6260162601626016,0.7699115044247787
0.15,linear,0.13595000000000002,0.038858815055370734,0.07,0.22,0.86405,0.03885881505537074,0.78,0.93,0.8526522219690365,0.00822244429388472,0.8375350470325195,0.869380128148228,13.595,3.885881505537074,7.0,22.0,2.939,1.7361720229554711,0.0,7.0,83.466,4.189319084814906,75.0,91.0,0.13595000000000002,0.038858815055370734,0.07,0.22,0.02939,0.017361720229554713,0.0,0.07,0.83466,0.04189319084814905,0.75,0.91,0.16534000000000001,0.041893190848149055,0.09,0.25,0.01886,0.0169052118054222,0.0,0.06,0.11747000000000002,0.03264605435370199,0.06,0.18,0.8790057097097098,0.004185474553623226,0.8702365365365365,0.886958958958959,0.6796422071098435,0.04043110857642946,0.6,0.7543859649122807
0.15,min,5e-05,0.0007056897321046963,0.0,0.0,0.99995,0.000705689732104697,1.0,1.0,0.747106382742638,0.011401675009548988,0.7253953233889195,0.7693503162980678,0.005,0.07056897321046965,0.0,0.0,0.122,0.34239338958752286,0.0,1.0,99.873,0.3478390317258717,99.0,100.0,5e-05,0.0007056897321046963,0.0,0.0,0.0012200000000000002,0.0034239338958752287,0.0,0.01,0.99873,0.0034783903172587206,0.99,1.0,0.00127,0.0034783903172587176,0.0,0.01,0.0,0.0,0.0,0.0,5e-05,0.0007056897321046963,0.0,0.0,0.7530712368269994,0.010990302223156306,0.7302298210030899,0.7734097673212205,0.6179844633667503,0.043340664424030506,0.5384615384615384,0.7094017094017094
0.2,geometric,0.04632000000000001,0.02069506912010409,0.01,0.09,0.95368,0.020695069120104076,0.91,0.99,0.8174785755260309,0.009959500564637116,0.7982533454811624,0.8364471164517109,4.632,2.069506912010409,1.0,9.0,2.226,1.4666543816029307,0.0,5.0,93.142,2.527097588583041,88.0,98.0,0.04632000000000001,0.02069506912010409,0.01,0.09,0.022260000000000005,0.014666543816029306,0.0,0.05,0.9314199999999999,0.025270975885830393,0.88,0.98,0.06858000000000002,0.025270975885830414,0.02,0.12,0.0,0.0,0.0,0.0,0.04632000000000001,0.02069506912010409,0.01,0.09,0.6427519526719189,0.018204703880891137,0.6082928713282216,0.6773039697212901,0.6144333656695455,0.043166771029386354,0.5384615384615384,0.6949152542372882
0.2,linear,0.15625,0.03917872474280489,0.08,0.24,0.84375,0.039178724742804885,0.76,0.92,0.8514771218318266,0.008567731056490255,0.8344348424859295,0.8682104453810232,15.625,3.9178724742804896,8.0,24.0,3.214,1.7576385559304544,0.0,7.0,81.161,4.25266553636236,73.0,90.0,0.15625,0.03917872474280489,0.08,0.24,0.03214,0.017576385559304544,0.0,0.07,0.81161,0.0425266553636236,0.73,0.9,0.18839,0.04252665536362361,0.1,0.27,0.01196,0.013606746251163192,0.0,0.05,0.14474,0.03553582973838088,0.08,0.21,0.8441918758758759,0.005262830863496239,0.8333604604604605,0.8544066066066066,0.6040523630969654,0.04135281994732877,0.5267175572519084,0.680672268907563
0.2,min,0.0021900000000000005,0.00466107558677454,0.0,0.01,0.9978100000000002,0.0046610755867745445,0.99,1.0,0.7495379586760405,0.011891227794428869,0.7265833901922559,0.7731207098651106,0.219,0.466107558677454,0.0,1.0,0.674,0.8260789347310622,0.0,3.0,99.107,0.9625370005758103,97.0,100.0,0.0021900000000000005,0.00466107558677454,0.0,0.01,0.00674,0.00826078934731062,0.0,0.03,0.9910700000000001,0.009625370005758112,0.97,1.0,0.008930000000000002,0.009625370005758103,0.0,0.03,0.0,0.0,0.0,0.0,0.0021900000000000005,0.00466107558677454,0.0,0.01,0.6781072743163439,0.01447484838896619,0.6506094908013238,0.7060754506314793,0.5389249390273337,0.0429741727361172,0.4598540145985401,0.6260162601626016
