trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,baseline,0.0,0.75,linear,0.03,0.97,0.84519557984,3.0,0.0,97.0,0.03,0.0,0.97,0.03,0.03,0.0,1.0,1.0
0,42,context_noise,baseline,0.0,0.75,geometric,0.0,1.0,0.829074167336993,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,baseline,0.0,0.75,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,baseline,0.05,0.75,linear,0.05,0.95,0.8498020264565926,5.0,0.0,95.0,0.05,0.0,0.95,0.05,0.0,0.05,0.9585265265265266,0.9047619047619048
0,42,context_noise,baseline,0.05,0.75,geometric,0.0,1.0,0.8249003520377809,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8441947981945829,0.8691588785046729
0,42,context_noise,baseline,0.05,0.75,min,0.0,1.0,0.7622888831151721,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9086090853725265,0.8518518518518519
0,42,context_noise,baseline,0.1,0.75,linear,0.06,0.94,0.8470519662221193,6.0,1.0,93.0,0.06,0.01,0.93,0.07,0.01,0.05,0.9193673673673675,0.7543859649122807
0,42,context_noise,baseline,0.1,0.75,geometric,0.0,1.0,0.8237753311306217,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7780555036356026,0.7857142857142857
0,42,context_noise,baseline,0.1,0.75,min,0.0,1.0,0.7600092964533335,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8392940176841392,0.6666666666666666
0,42,context_noise,baseline,0.15,0.75,linear,0.12,0.88,0.8518698144663808,12.0,2.0,86.0,0.12,0.02,0.86,0.14,0.01,0.11,0.8747387387387389,0.680672268907563
0,42,context_noise,baseline,0.15,0.75,geometric,0.03,0.97,0.8194053038695966,3.0,0.0,97.0,0.03,0.0,0.97,0.03,0.0,0.03,0.6979457498302809,0.6949152542372882
0,42,context_noise,baseline,0.15,0.75,min,0.0,1.0,0.7432191310401993,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7405210204127903,0.6
0,42,context_noise,baseline,0.2,0.75,linear,0.11,0.89,0.8481210616473025,11.0,3.0,86.0,0.11,0.03,0.86,0.14,0.0,0.11,0.8442442442442443,0.6129032258064516
