trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,high_r_overlap,0.0,0.75,linear,0.01,0.99,0.8399138928822816,1.0,0.0,99.0,0.01,0.0,0.99,0.01,0.01,0.0,1.0,1.0
0,42,context_noise,high_r_overlap,0.0,0.75,geometric,0.0,1.0,0.829074167336993,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,high_r_overlap,0.0,0.75,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,high_r_overlap,0.05,0.75,linear,0.01,0.99,0.8405757546832103,1.0,0.0,99.0,0.01,0.0,0.99,0.01,0.0,0.01,0.9611131131131132,0.941747572815534
0,42,context_noise,high_r_overlap,0.05,0.75,geometric,0.0,1.0,0.8249080721902566,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8964318883766773,0.8867924528301887
0,42,context_noise,high_r_overlap,0.05,0.75,min,0.0,1.0,0.7623631834795094,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9088105150658575,0.8691588785046729
0,42,context_noise,high_r_overlap,0.1,0.75,linear,0.01,0.99,0.8388360890243964,1.0,1.0,98.0,0.01,0.01,0.98,0.02,0.0,0.01,0.9216656656656657,0.8518518518518519
0,42,context_noise,high_r_overlap,0.1,0.75,geometric,0.0,1.0,0.8215834699051918,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8357664445869749,0.8348623853211009
0,42,context_noise,high_r_overlap,0.1,0.75,min,0.0,1.0,0.7650509565211516,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8358157241163253,0.7543859649122807
0,42,context_noise,high_r_overlap,0.15,0.75,linear,0.02,0.98,0.8425849592906697,2.0,3.0,95.0,0.02,0.03,0.95,0.05,0.0,0.02,0.8814974974974975,0.7857142857142857
0,42,context_noise,high_r_overlap,0.15,0.75,geometric,0.0,1.0,0.8218066856352003,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.7812818574954107,0.680672268907563
0,42,context_noise,high_r_overlap,0.15,0.75,min,0.0,1.0,0.7533787603623735,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7418048484377197,0.639344262295082
0,42,context_noise,high_r_overlap,0.2,0.75,linear,0.02,0.98,0.8366090521942725,2.0,1.0,97.0,0.02,0.01,0.97,0.03,0.0,0.02,0.8463383383383383,0.6949152542372882
0,42,context_noise,high_r_overlap,0.2,0.75,geometric,0.01,0.99,0.8218721917981356,1.0,1.0,98.0,0.01,0.01,0.98,0.02,0.0,0.01,0.7209128678249497,0.6666666666666666
0,42,context_noise,high_r_overlap,0.2,0.75,min,0.0,1.0,0.7517880816619802,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.6796566636309874,0.5267175572519084
1,43,context_noise,high_r_overlap,0.0,0.75,linear,0.0,1.0,0.8494908868735371,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,1.0,1.0
1,43,context_noise,high_r_overlap,0.0,0.75,geometric,0.0,1.0,0.8364731516823304,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,high_r_overlap,0.0,0.75,min,0.0,1.0,0.7448821381783003,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,high_r_overlap,0.05,0.75,linear,0.0,1.0,0.852755598116141,0.0,5.0,95.0,0.0,0.05,0.95,0.05,0.0,0.0,0.9615575575575577,0.9230769230769231
1,43,context_noise,high_r_overlap,0.05,0.75,geometric,0.0,1.0,0.8358703118582967,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9054467941765492,0.8691588785046729
1,43,context_noise,high_r_overlap,0.05,0.75,min,0.0,1.0,0.7454666068274814,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9058248796057667,0.8181818181818182
1,43,context_noise,high_r_overlap,0.1,0.75,linear,0.0,1.0,0.8502849686912164,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.9237757757757759,0.8181818181818182
1,43,context_noise,high_r_overlap,0.1,0.75,geometric,0.0,1.0,0.8279997700470975,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8368750303743198,0.7857142857142857
1,43,context_noise,high_r_overlap,0.1,0.75,min,0.0,1.0,0.752987735175841,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8181923877917395,0.6528925619834711
1,43,context_noise,high_r_overlap,0.15,0.75,linear,0.0,1.0,0.8457115023792551,0.0,5.0,95.0,0.0,0.05,0.95,0.05,0.0,0.0,0.8912952952952953,0.7699115044247787
1,43,context_noise,high_r_overlap,0.15,0.75,geometric,0.0,1.0,0.82927769693,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.7631922052634232,0.7391304347826086
1,43,context_noise,high_r_overlap,0.15,0.75,min,0.0,1.0,0.7499445877043435,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.7358216569229569,0.5503875968992248
1,43,context_noise,high_r_overlap,0.2,0.75,linear,0.01,0.99,0.8511969322923559,1.0,10.0,89.0,0.01,0.1,0.89,0.11,0.0,0.01,0.858018018018018,0.6528925619834711
1,43,context_noise,high_r_overlap,0.2,0.75,geometric,0.01,0.99,0.8307829769536567,1.0,6.0,93.0,0.01,0.06,0.93,0.07,0.0,0.01,0.7374207063246374,0.5503875968992248
1,43,context_noise,high_r_overlap,0.2,0.75,min,0.0,1.0,0.7612711336866222,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6707456546342615,0.43884892086330934
2,44,context_noise,high_r_overlap,0.0,0.75,linear,0.0,1.0,0.828262135953177,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,1.0,1.0
2,44,context_noise,high_r_overlap,0.0,0.75,geometric,0.0,1.0,0.822127283579075,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,high_r_overlap,0.0,0.75,min,0.0,1.0,0.7369154342234018,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,high_r_overlap,0.05,0.75,linear,0.01,0.99,0.8312288572124943,1.0,2.0,97.0,0.01,0.02,0.97,0.03,0.0,0.01,0.9607847847847848,0.9230769230769231
2,44,context_noise,high_r_overlap,0.05,0.75,geometric,0.0,1.0,0.8180969513334118,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8956492350022649,0.8691588785046729
2,44,context_noise,high_r_overlap,0.05,0.75,min,0.0,1.0,0.7365352895638793,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9098017523783632,0.8018018018018018
2,44,context_noise,high_r_overlap,0.1,0.75,linear,0.01,0.99,0.8274539708443194,1.0,1.0,98.0,0.01,0.01,0.98,0.02,0.0,0.01,0.9197397397397397,0.8348623853211009
2,44,context_noise,high_r_overlap,0.1,0.75,geometric,0.0,1.0,0.815351830462475,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.825513235689909,0.8018018018018018
2,44,context_noise,high_r_overlap,0.1,0.75,min,0.0,1.0,0.7470844736410142,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8317105633019869,0.6528925619834711
2,44,context_noise,high_r_overlap,0.15,0.75,linear,0.01,0.99,0.8291195026994752,1.0,4.0,95.0,0.01,0.04,0.95,0.05,0.0,0.01,0.8838278278278279,0.7241379310344828
2,44,context_noise,high_r_overlap,0.15,0.75,geometric,0.0,1.0,0.8111373043037692,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7737208464070786,0.680672268907563
2,44,context_noise,high_r_overlap,0.15,0.75,min,0.0,1.0,0.7541820272612454,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7490173446821811,0.5151515151515151
2,44,context_noise,high_r_overlap,0.2,0.75,linear,0.0,1.0,0.8177801344609732,0.0,3.0,97.0,0.0,0.03,0.97,0.03,0.0,0.0,0.8483283283283284,0.7391304347826086
2,44,context_noise,high_r_overlap,0.2,0.75,geometric,0.0,1.0,0.8027399224822644,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.6935794351032807,0.680672268907563
2,44,context_noise,high_r_overlap,0.2,0.75,min,0.0,1.0,0.7492885160915538,0.0,3.0,97.0,0.0,0.03,0.97,0.03,0.0,0.0,0.6682879020324901,0.5384615384615384
3,45,context_noise,high_r_overlap,0.0,0.75,linear,0.0,1.0,0.8288883225084163,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,1.0,1.0
3,45,context_noise,high_r_overlap,0.0,0.75,geometric,0.0,1.0,0.8146214458587825,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
3,45,context_noise,high_r_overlap,0.0,0.75,min,0.0,1.0,0.7453271408414643,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
3,45,context_noise,high_r_overlap,0.05,0.75,linear,0.0,1.0,0.8305361971585801,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.95991991991992,0.8867924528301887
3,45,context_noise,high_r_overlap,0.05,0.75,geometric,0.0,1.0,0.8077807395620578,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8960353089825323,0.8691588785046729
3,45,context_noise,high_r_overlap,0.05,0.75,min,0.0,1.0,0.7407430830564704,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9121907813545765,0.8348623853211009
3,45,context_noise,high_r_overlap,0.1,0.75,linear,0.0,1.0,0.823925124524992,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.9193393393393394,0.8018018018018018
3,45,context_noise,high_r_overlap,0.1,0.75,geometric,0.0,1.0,0.8114409999095393,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.8266450219988282,0.7699115044247787
3,45,context_noise,high_r_overlap,0.1,0.75,min,0.0,1.0,0.7497201574071042,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8282135966908095,0.639344262295082
3,45,context_noise,high_r_overlap,0.15,0.75,linear,0.0,1.0,0.8179214717821195,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.8854014014014014,0.6528925619834711
3,45,context_noise,high_r_overlap,0.15,0.75,geometric,0.0,1.0,0.804650479010826,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.7674773611090723,0.639344262295082
