trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,high_veto_frac,0.0,0.75,linear,0.02,0.98,0.8498637630144517,2.0,4.0,94.0,0.02,0.04,0.94,0.06,0.02,0.0,1.0,1.0
0,42,context_noise,high_veto_frac,0.0,0.75,geometric,0.0,1.0,0.8283173800145589,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,context_noise,high_veto_frac,0.0,0.75,min,0.0,1.0,0.745094237877059,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,42,context_noise,high_veto_frac,0.05,0.75,linear,0.03,0.97,0.8526878059238916,3.0,5.0,92.0,0.03,0.05,0.92,0.08,0.01,0.02,0.9576456456456457,0.8867924528301887
0,42,context_noise,high_veto_frac,0.05,0.75,geometric,0.0,1.0,0.8217566899817189,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8979732329615776,0.8691588785046729
0,42,context_noise,high_veto_frac,0.05,0.75,min,0.0,1.0,0.7420918526749074,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9089722276088786,0.8018018018018018
0,42,context_noise,high_veto_frac,0.1,0.75,linear,0.01,0.99,0.839913053018053,1.0,3.0,96.0,0.01,0.03,0.96,0.04,0.0,0.01,0.9184744744744745,0.8181818181818182
0,42,context_noise,high_veto_frac,0.1,0.75,geometric,0.0,1.0,0.82326058781594,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.8292222828912601,0.7543859649122807
0,42,context_noise,high_veto_frac,0.1,0.75,min,0.0,1.0,0.7519300033680426,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8302297797236489,0.680672268907563
0,42,context_noise,high_veto_frac,0.15,0.75,linear,0.06,0.94,0.8536690865735457,6.0,4.0,90.0,0.06,0.04,0.9,0.1,0.0,0.06,0.8746826826826827,0.6528925619834711
0,42,context_noise,high_veto_frac,0.15,0.75,geometric,0.01,0.99,0.8204740792731151,1.0,1.0,98.0,0.01,0.01,0.98,0.02,0.0,0.01,0.7597459140006521,0.639344262295082
0,42,context_noise,high_veto_frac,0.15,0.75,min,0.0,1.0,0.7508738252855687,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.7255915123532622,0.5503875968992248
0,42,context_noise,high_veto_frac,0.2,0.75,linear,0.04,0.96,0.8364912155240417,4.0,6.0,90.0,0.04,0.06,0.9,0.1,0.0,0.04,0.8383503503503503,0.6260162601626016
0,42,context_noise,high_veto_frac,0.2,0.75,geometric,0.0,1.0,0.8101475201065039,0.0,5.0,95.0,0.0,0.05,0.95,0.05,0.0,0.0,0.710464214500756,0.5503875968992248
0,42,context_noise,high_veto_frac,0.2,0.75,min,0.0,1.0,0.7484314286743686,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.6592736981178587,0.5037593984962406
1,43,context_noise,high_veto_frac,0.0,0.75,linear,0.0,1.0,0.843728063518562,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,1.0,1.0
