trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,lambda_sensitivity,low_r_separation,0.0,0.0,linear,0.0,1.0,0.5002412841391286,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.0,geometric,0.0,1.0,0.5002412841391286,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.0,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.1,linear,0.0,1.0,0.5631715236339884,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9275820711076864,0.7857142857142857
0,42,lambda_sensitivity,low_r_separation,0.0,0.1,geometric,0.0,1.0,0.605177961850313,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9406547122602168,0.680672268907563
0,42,lambda_sensitivity,low_r_separation,0.0,0.1,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.2,linear,0.0,1.0,0.6249404915675614,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8636448517588614,0.6260162601626016
0,42,lambda_sensitivity,low_r_separation,0.0,0.2,geometric,0.0,1.0,0.6595918289648718,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8727564637197663,0.5384615384615384
0,42,lambda_sensitivity,low_r_separation,0.0,0.2,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.3,linear,0.0,1.0,0.6748733835505933,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.778377518969705,0.5037593984962406
0,42,lambda_sensitivity,low_r_separation,0.0,0.3,geometric,0.0,1.0,0.7078075236249094,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8001709758131775,0.41843971631205673
0,42,lambda_sensitivity,low_r_separation,0.0,0.3,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.4,linear,0.0,1.0,0.7397727945568232,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6663208712926534,0.36054421768707484
0,42,lambda_sensitivity,low_r_separation,0.0,0.4,geometric,0.0,1.0,0.7476119633581462,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7236822351959965,0.32450331125827814
0,42,lambda_sensitivity,low_r_separation,0.0,0.4,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_r_separation,0.0,0.5,linear,0.0,1.0,0.7707163194868185,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5173083719002075,0.2903225806451613
0,42,lambda_sensitivity,low_r_separation,0.0,0.5,geometric,0.0,1.0,0.7722134397087992,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6476855713094244,0.27388535031847133
0,42,lambda_sensitivity,low_r_separation,0.0,0.5,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
