trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,low_r_separation,0.0,0.75,linear,0.01,0.99,0.8399512822416608,1.0,0.0,99.0,0.01,0.0,0.99,0.01,0.01,0.0,1.0,1.0
0,42,context_noise,low_r_separation,0.0,0.75,geometric,0.0,1.0,0.829074167336993,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,low_r_separation,0.0,0.75,min,0.0,1.0,0.7571765114954294,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,low_r_separation,0.05,0.75,linear,0.02,0.98,0.8429366819498145,2.0,0.0,98.0,0.02,0.0,0.98,0.02,0.0,0.02,0.9583983983983985,0.9047619047619048
0,42,context_noise,low_r_separation,0.05,0.75,geometric,0.0,1.0,0.8249003520377809,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8683455399188569,0.8691588785046729
0,42,context_noise,low_r_separation,0.05,0.75,min,0.0,1.0,0.7622888831151721,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9086090853725265,0.8518518518518519
0,42,context_noise,low_r_separation,0.1,0.75,linear,0.02,0.98,0.8398908164419869,2.0,2.0,96.0,0.02,0.02,0.96,0.04,0.01,0.01,0.9187347347347347,0.8181818181818182
0,42,context_noise,low_r_separation,0.1,0.75,geometric,0.0,1.0,0.8237753311306217,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8075649204938685,0.7857142857142857
0,42,context_noise,low_r_separation,0.1,0.75,min,0.0,1.0,0.7600092964533335,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8392940176841392,0.6666666666666666
0,42,context_noise,low_r_separation,0.15,0.75,linear,0.04,0.96,0.8409794332148188,4.0,2.0,94.0,0.04,0.02,0.94,0.06,0.01,0.03,0.8733373373373373,0.7699115044247787
0,42,context_noise,low_r_separation,0.15,0.75,geometric,0.0,1.0,0.8172728141106026,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.731449152654168,0.6949152542372882
0,42,context_noise,low_r_separation,0.15,0.75,min,0.0,1.0,0.7432191310401993,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7405210204127903,0.6
0,42,context_noise,low_r_separation,0.2,0.75,linear,0.02,0.98,0.8329660079392949,2.0,3.0,95.0,0.02,0.03,0.95,0.05,0.0,0.02,0.8434754754754755,0.6528925619834711
0,42,context_noise,low_r_separation,0.2,0.75,geometric,0.01,0.99,0.8190444261614553,1.0,3.0,96.0,0.01,0.03,0.96,0.04,0.0,0.01,0.68560484824837,0.639344262295082
0,42,context_noise,low_r_separation,0.2,0.75,min,0.0,1.0,0.7498542603636171,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6799089222361591,0.5267175572519084
1,43,context_noise,low_r_separation,0.0,0.75,linear,0.0,1.0,0.8494908868735371,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,1.0,1.0
1,43,context_noise,low_r_separation,0.0,0.75,geometric,0.0,1.0,0.8364731516823304,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,low_r_separation,0.0,0.75,min,0.0,1.0,0.7448821381783003,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,low_r_separation,0.05,0.75,linear,0.01,0.99,0.8580889415591056,1.0,7.0,92.0,0.01,0.07,0.92,0.08,0.0,0.01,0.957913913913914,0.8348623853211009
1,43,context_noise,low_r_separation,0.05,0.75,geometric,0.0,1.0,0.8365819511309753,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8843029208388229,0.9047619047619048
1,43,context_noise,low_r_separation,0.05,0.75,min,0.0,1.0,0.741843473396463,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9059108189205533,0.8018018018018018
1,43,context_noise,low_r_separation,0.1,0.75,linear,0.01,0.99,0.8591030507016681,1.0,9.0,90.0,0.01,0.09,0.9,0.1,0.0,0.01,0.9197757757757757,0.8348623853211009
1,43,context_noise,low_r_separation,0.1,0.75,geometric,0.0,1.0,0.8350107785285809,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.8110286857349399,0.7543859649122807
1,43,context_noise,low_r_separation,0.1,0.75,min,0.0,1.0,0.7455703695481104,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8276885525350104,0.680672268907563
1,43,context_noise,low_r_separation,0.15,0.75,linear,0.04,0.96,0.8538632784604414,4.0,6.0,90.0,0.04,0.06,0.9,0.1,0.0,0.04,0.8846566566566567,0.7543859649122807
1,43,context_noise,low_r_separation,0.15,0.75,geometric,0.01,0.99,0.8349403875805244,1.0,3.0,96.0,0.01,0.03,0.96,0.04,0.0,0.01,0.736649942171775,0.7543859649122807
1,43,context_noise,low_r_separation,0.15,0.75,min,0.0,1.0,0.7491309791396011,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7431823999549081,0.680672268907563
1,43,context_noise,low_r_separation,0.2,0.75,linear,0.07,0.9299999999999999,0.850934342741554,7.0,5.0,88.0,0.07,0.05,0.88,0.12,0.0,0.07,0.8463863863863864,0.639344262295082
1,43,context_noise,low_r_separation,0.2,0.75,geometric,0.02,0.98,0.8275372085377195,2.0,2.0,96.0,0.02,0.02,0.96,0.04,0.0,0.02,0.6656499914616268,0.6260162601626016
1,43,context_noise,low_r_separation,0.2,0.75,min,0.0,1.0,0.7446478907842803,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.6515723407787997,0.4925373134328358
2,44,context_noise,low_r_separation,0.0,0.75,linear,0.03,0.97,0.8349574673229779,3.0,1.0,96.0,0.03,0.01,0.96,0.04,0.03,0.0,1.0,1.0
2,44,context_noise,low_r_separation,0.0,0.75,geometric,0.0,1.0,0.822127283579075,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,low_r_separation,0.0,0.75,min,0.0,1.0,0.7369154342234018,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,low_r_separation,0.05,0.75,linear,0.03,0.97,0.8343233385387687,3.0,1.0,96.0,0.03,0.01,0.96,0.04,0.02,0.01,0.9595555555555555,0.941747572815534
2,44,context_noise,low_r_separation,0.05,0.75,geometric,0.0,1.0,0.8180969513334118,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8745951560012847,0.8691588785046729
2,44,context_noise,low_r_separation,0.05,0.75,min,0.0,1.0,0.7365352895638793,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9098017523783632,0.8018018018018018
