trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,lambda_sensitivity,low_veto_frac,0.0,0.0,linear,0.0,1.0,0.48890403676030636,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.0,geometric,0.0,1.0,0.48890403676030636,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.0,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.1,linear,0.0,1.0,0.5334697751249539,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9302003953773439,0.8348623853211009
0,42,lambda_sensitivity,low_veto_frac,0.0,0.1,geometric,0.0,1.0,0.5774357271800357,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9203411770608598,0.7094017094017094
0,42,lambda_sensitivity,low_veto_frac,0.0,0.1,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.2,linear,0.0,1.0,0.6004236536629242,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.846959120945464,0.639344262295082
0,42,lambda_sensitivity,low_veto_frac,0.0,0.2,geometric,0.0,1.0,0.6373819583837942,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8286488384928001,0.5503875968992248
0,42,lambda_sensitivity,low_veto_frac,0.0,0.2,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.3,linear,0.0,1.0,0.6665316143841008,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7442986241408224,0.4925373134328358
0,42,lambda_sensitivity,low_veto_frac,0.0,0.3,geometric,0.0,1.0,0.6998278806099808,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7293984245647483,0.3888888888888889
0,42,lambda_sensitivity,low_veto_frac,0.0,0.3,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.4,linear,0.0,1.0,0.7311850713346125,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6187551956054366,0.3422818791946309
0,42,lambda_sensitivity,low_veto_frac,0.0,0.4,geometric,0.0,1.0,0.7209932084888144,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6274707741708895,0.3333333333333333
0,42,lambda_sensitivity,low_veto_frac,0.0,0.4,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.5,linear,0.0,1.0,0.7671909485423544,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.478366725689717,0.27388535031847133
0,42,lambda_sensitivity,low_veto_frac,0.0,0.5,geometric,0.0,1.0,0.771058806018452,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5274737845567207,0.25
0,42,lambda_sensitivity,low_veto_frac,0.0,0.5,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.6,linear,0.0,1.0,0.8104713529797829,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3359497408027717,0.1695906432748538
0,42,lambda_sensitivity,low_veto_frac,0.0,0.6,geometric,0.0,1.0,0.7994145421891433,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43040690381817265,0.17647058823529413
0,42,lambda_sensitivity,low_veto_frac,0.0,0.6,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.7,linear,0.0,1.0,0.8426988311315431,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.20721120074156194,0.10497237569060773
0,42,lambda_sensitivity,low_veto_frac,0.0,0.7,geometric,0.0,1.0,0.829327673647442,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33718930309568007,0.10497237569060773
0,42,lambda_sensitivity,low_veto_frac,0.0,0.7,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.8,linear,0.04,0.96,0.8678953987672803,4.0,5.0,91.0,0.04,0.05,0.91,0.09,0.04,0.0,0.09793197228179436,0.07526881720430108
0,42,lambda_sensitivity,low_veto_frac,0.0,0.8,geometric,0.0,1.0,0.8462531211997839,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25014500025086545,0.09289617486338798
0,42,lambda_sensitivity,low_veto_frac,0.0,0.8,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,0.9,linear,0.13,0.87,0.8844636912124112,13.0,6.0,81.0,0.13,0.06,0.81,0.19,0.13,0.0,0.011251042029140382,0.041666666666666664
0,42,lambda_sensitivity,low_veto_frac,0.0,0.9,geometric,0.0,1.0,0.8653396132315685,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.17095579750137974,0.06382978723404255
0,42,lambda_sensitivity,low_veto_frac,0.0,0.9,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,lambda_sensitivity,low_veto_frac,0.0,1.0,linear,0.22,0.78,0.8882443663433292,22.0,8.0,70.0,0.22,0.08,0.7,0.3,0.22,0.0,-0.05661601320382507,0.02564102564102564
0,42,lambda_sensitivity,low_veto_frac,0.0,1.0,geometric,0.0,1.0,0.8718940235286913,0.0,11.0,89.0,0.0,0.11,0.89,0.11,0.0,0.0,0.10213837740203702,0.030927835051546393
0,42,lambda_sensitivity,low_veto_frac,0.0,1.0,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.0,linear,0.0,1.0,0.5597859890939352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.0,geometric,0.0,1.0,0.5597859890939352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.0,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.1,linear,0.0,1.0,0.5931145575318275,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9353197898798248,0.8867924528301887
1,43,lambda_sensitivity,low_veto_frac,0.0,0.1,geometric,0.0,1.0,0.6189919939236155,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9277025738798854,0.7857142857142857
1,43,lambda_sensitivity,low_veto_frac,0.0,0.1,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.2,linear,0.0,1.0,0.6479553546988392,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8563760807624784,0.7241379310344828
1,43,lambda_sensitivity,low_veto_frac,0.0,0.2,geometric,0.0,1.0,0.6876000443907633,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8460448547488836,0.6
1,43,lambda_sensitivity,low_veto_frac,0.0,0.2,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.3,linear,0.0,1.0,0.6910008884760649,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7565178210425932,0.6129032258064516
1,43,lambda_sensitivity,low_veto_frac,0.0,0.3,geometric,0.0,1.0,0.7233506501743606,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7570177111033063,0.4925373134328358
1,43,lambda_sensitivity,low_veto_frac,0.0,0.3,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.4,linear,0.0,1.0,0.7488583585409602,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6363824294561867,0.47058823529411764
1,43,lambda_sensitivity,low_veto_frac,0.0,0.4,geometric,0.0,1.0,0.7604419505792387,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6616125633435351,0.41843971631205673
1,43,lambda_sensitivity,low_veto_frac,0.0,0.4,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.5,linear,0.0,1.0,0.7915548059305383,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49971423996200365,0.3793103448275862
1,43,lambda_sensitivity,low_veto_frac,0.0,0.5,geometric,0.0,1.0,0.7808658137869903,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5652440921178064,0.3793103448275862
1,43,lambda_sensitivity,low_veto_frac,0.0,0.5,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.6,linear,0.0,1.0,0.8053408348649448,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35794670057968,0.3333333333333333
1,43,lambda_sensitivity,low_veto_frac,0.0,0.6,geometric,0.0,1.0,0.8010037443310586,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46808890672821224,0.3333333333333333
1,43,lambda_sensitivity,low_veto_frac,0.0,0.6,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.7,linear,0.0,1.0,0.8366025629582147,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.22919212482699813,0.27388535031847133
1,43,lambda_sensitivity,low_veto_frac,0.0,0.7,geometric,0.0,1.0,0.8182370262627449,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.37272389744618933,0.27388535031847133
1,43,lambda_sensitivity,low_veto_frac,0.0,0.7,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.8,linear,0.01,0.99,0.8661164783534495,1.0,5.0,94.0,0.01,0.05,0.94,0.06,0.01,0.0,0.12016946743078478,0.1834319526627219
1,43,lambda_sensitivity,low_veto_frac,0.0,0.8,geometric,0.0,1.0,0.8422668310656658,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28048968942852837,0.22699386503067484
1,43,lambda_sensitivity,low_veto_frac,0.0,0.8,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,0.9,linear,0.11,0.89,0.8899302776590002,11.0,12.0,77.0,0.11,0.12,0.77,0.23,0.11,0.0,0.030008792128676406,0.09289617486338798
1,43,lambda_sensitivity,low_veto_frac,0.0,0.9,geometric,0.0,1.0,0.871161110384317,0.0,7.0,93.0,0.0,0.07,0.93,0.07,0.0,0.0,0.19388690983894433,0.13636363636363635
1,43,lambda_sensitivity,low_veto_frac,0.0,0.9,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,lambda_sensitivity,low_veto_frac,0.0,1.0,linear,0.17,0.83,0.8946823846682755,17.0,17.0,66.0,0.17,0.17,0.66,0.34,0.17,0.0,-0.04235627456222438,0.05263157894736842
1,43,lambda_sensitivity,low_veto_frac,0.0,1.0,geometric,0.0,1.0,0.8821265050480127,0.0,20.0,80.0,0.0,0.2,0.8,0.2,0.0,0.0,0.11605438763734885,0.07526881720430108
