trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,low_veto_frac,0.0,0.75,linear,0.01,0.99,0.8537158457180819,1.0,2.0,97.0,0.01,0.02,0.97,0.03,0.01,0.0,1.0,1.0
0,42,context_noise,low_veto_frac,0.0,0.75,geometric,0.0,1.0,0.8360771693627177,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,low_veto_frac,0.0,0.75,min,0.0,1.0,0.7507255694391352,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,low_veto_frac,0.05,0.75,linear,0.01,0.99,0.8532864119673834,1.0,2.0,97.0,0.01,0.02,0.97,0.03,0.01,0.0,0.9584704704704704,0.8518518518518519
0,42,context_noise,low_veto_frac,0.05,0.75,geometric,0.0,1.0,0.8346757745614605,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9269940943309795,0.8348623853211009
0,42,context_noise,low_veto_frac,0.05,0.75,min,0.0,1.0,0.7522217117182316,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9025169775418633,0.7699115044247787
0,42,context_noise,low_veto_frac,0.1,0.75,linear,0.04,0.96,0.8546407601432402,4.0,2.0,94.0,0.04,0.02,0.94,0.06,0.0,0.04,0.9161761761761763,0.8348623853211009
0,42,context_noise,low_veto_frac,0.1,0.75,geometric,0.0,1.0,0.8338599060090158,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8584079567693356,0.8181818181818182
0,42,context_noise,low_veto_frac,0.1,0.75,min,0.0,1.0,0.754559696195743,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8133493402681687,0.6666666666666666
0,42,context_noise,low_veto_frac,0.15,0.75,linear,0.03,0.97,0.8532187105461092,3.0,4.0,93.0,0.03,0.04,0.93,0.07,0.0,0.03,0.8773733733733734,0.6949152542372882
0,42,context_noise,low_veto_frac,0.15,0.75,geometric,0.0,1.0,0.8363663302161238,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.8046593494687545,0.639344262295082
0,42,context_noise,low_veto_frac,0.15,0.75,min,0.0,1.0,0.7657371261555862,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.727453190001292,0.5503875968992248
0,42,context_noise,low_veto_frac,0.2,0.75,linear,0.03,0.97,0.8410450229356337,3.0,4.0,93.0,0.03,0.04,0.93,0.07,0.0,0.03,0.84198998998999,0.5503875968992248
0,42,context_noise,low_veto_frac,0.2,0.75,geometric,0.01,0.99,0.830805026067629,1.0,2.0,97.0,0.01,0.02,0.97,0.03,0.0,0.01,0.7218286982300335,0.639344262295082
0,42,context_noise,low_veto_frac,0.2,0.75,min,0.0,1.0,0.7691552040185275,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6445951548166129,0.42857142857142855
1,43,context_noise,low_veto_frac,0.0,0.75,linear,0.0,1.0,0.8595543798994343,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,1.0,1.0
1,43,context_noise,low_veto_frac,0.0,0.75,geometric,0.0,1.0,0.8321944390440302,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,low_veto_frac,0.0,0.75,min,0.0,1.0,0.7594485041847997,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,low_veto_frac,0.05,0.75,linear,0.0,1.0,0.8560172999155001,0.0,3.0,97.0,0.0,0.03,0.97,0.03,0.0,0.0,0.9583623623623624,0.8867924528301887
1,43,context_noise,low_veto_frac,0.05,0.75,geometric,0.0,1.0,0.8356892577629158,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.910832403016677,0.8867924528301887
1,43,context_noise,low_veto_frac,0.05,0.75,min,0.0,1.0,0.7689622595676501,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9026038196149629,0.8518518518518519
