scenario,lambda,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,veto_preservation_rate_mean,veto_preservation_rate_std,veto_preservation_rate_ci_low,veto_preservation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,n_veto_topk_mean,n_veto_topk_std,n_veto_topk_ci_low,n_veto_topk_ci_high,n_weak_nv_topk_mean,n_weak_nv_topk_std,n_weak_nv_topk_ci_low,n_weak_nv_topk_ci_high,n_normal_topk_mean,n_normal_topk_std,n_normal_topk_ci_low,n_normal_topk_ci_high,frac_veto_topk_mean,frac_veto_topk_std,frac_veto_topk_ci_low,frac_veto_topk_ci_high,frac_weak_nv_topk_mean,frac_weak_nv_topk_std,frac_weak_nv_topk_ci_low,frac_weak_nv_topk_ci_high,frac_normal_topk_mean,frac_normal_topk_std,frac_normal_topk_ci_low,frac_normal_topk_ci_high,e_weak_context_mean,e_weak_context_std,e_weak_context_ci_low,e_weak_context_ci_high,observed_veto_rate_mean,observed_veto_rate_std,observed_veto_rate_ci_low,observed_veto_rate_ci_high,false_negative_veto_rate_mean,false_negative_veto_rate_std,false_negative_veto_rate_ci_low,false_negative_veto_rate_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high,sweep,sigma_q
baseline,0.0,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4993410575699376,0.022614879251469162,0.4552133500391438,0.5415050752889479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.0,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4993410575699376,0.022614879251469162,0.4552133500391438,0.5415050752889479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.0,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.1,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5797733637581468,0.019912644677051564,0.5416351385241394,0.6176649380866766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944684395329441,0.0027082753714488023,0.9389726855713093,0.949546080066722,0.7382732422495001,0.04040465702283933,0.6528925619834711,0.8181818181818182,lambda,
baseline,0.1,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5450708184914822,0.022194042523254014,0.5013600901770314,0.5872497823848517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317056192621658,0.0018217847540269224,0.9279658701316105,0.9350806071079769,0.8407266270434723,0.034037259664863415,0.7699115044247787,0.9047619047619048,lambda,
baseline,0.1,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.2,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6442943897512325,0.017562300588000134,0.6104631008310669,0.678637858833916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8815861342785654,0.0055295393487805366,0.8702041284403668,0.8917944120100083,0.5599546130269915,0.0424522314322076,0.48148148148148145,0.639344262295082,lambda,
baseline,0.2,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5991460142457615,0.021146605149044973,0.556966108318964,0.6369180011329232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637972476555583,0.0036779113132843853,0.8566977523119756,0.8710505282135713,0.6821978642381153,0.04074783887267942,0.6,0.7543859649122807,lambda,
baseline,0.2,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.3,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6910392302081381,0.015999501202047493,0.659726392784237,0.7202356602471286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8128342201834861,0.008194041198539897,0.7963831317764802,0.8277265429524602,0.4405815555647439,0.03947596733156233,0.36054421768707484,0.5151515151515151,lambda,
baseline,0.3,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6600623014683813,0.019255658051618992,0.6246770801219331,0.6970290936195729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7690801107127843,0.005936534180586297,0.7576667756337256,0.7809281428795622,0.5289304265778247,0.040211124338593696,0.4492753623188406,0.6129032258064516,lambda,
baseline,0.3,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.4,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7275207082997729,0.013833028665257551,0.701187632478961,0.7556095047363692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404266472060048,0.010509522650529776,0.7193699958298582,0.75882964970809,0.353147983592776,0.038181865336012706,0.28205128205128205,0.42857142857142855,lambda,
baseline,0.4,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7147775529756542,0.01573887638704976,0.6857841187639349,0.7455231933572146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6385312517227505,0.00895595251558446,0.6213189289407609,0.6564369993305251,0.4021701481544787,0.03844293135867096,0.3333333333333333,0.48148148148148145,lambda,
baseline,0.4,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.5,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6662923269391158,0.012377318331799838,0.6417152835696412,0.6883917848206837,0.28562455096610556,0.03463461189358531,0.21951219512195122,0.35158117300974423,lambda,
baseline,0.5,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4655374161175129,0.01333511390503248,0.44011093202930973,0.49107784877724814,0.3051367940447815,0.0349227662125508,0.2422360248447205,0.3793103448275862,lambda,
baseline,0.5,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.6,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.783361527586362,0.011356216144536439,0.7611134625045411,0.8053920846155302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59220771059216,0.013801582398645634,0.5645820475396162,0.6181792118432026,0.23031340889758428,0.0312670124838038,0.1695906432748538,0.2903225806451613,lambda,
baseline,0.6,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7940241288845541,0.011388661013089907,0.7718281641461973,0.8157645093252257,0.0,0.0,0.0,0.0,0.013,0.11333068359382573,0.0,0.0,99.987,0.11333068359382573,100.0,100.0,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0011333068359382576,0.0,0.0,0.9998700000000001,0.0011333068359382584,1.0,1.0,0.00013000000000000002,0.0011333068359382576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26649452271647533,0.01743899173813092,0.23199379157543504,0.2999566612132597,0.2301214183079695,0.031051506046609747,0.1695906432748538,0.2903225806451613,lambda,
