trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
0,42,context_noise,weak_heavy,0.0,0.75,linear,0.29,0.71,0.8832614389797009,29.0,19.0,52.0,0.29,0.19,0.52,0.48,0.29,0.0,1.0,1.0
0,42,context_noise,weak_heavy,0.0,0.75,geometric,0.0,1.0,0.7713479540290764,0.0,5.0,95.0,0.0,0.05,0.95,0.05,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,weak_heavy,0.0,0.75,min,0.0,1.0,0.6534906652965513,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
0,42,context_noise,weak_heavy,0.05,0.75,linear,0.33,0.6699999999999999,0.8861306805497208,33.0,17.0,50.0,0.33,0.17,0.5,0.5,0.09,0.24,0.9623143143143144,0.8518518518518519
0,42,context_noise,weak_heavy,0.05,0.75,geometric,0.0,1.0,0.771237314810244,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.716968325102003,0.8691588785046729
0,42,context_noise,weak_heavy,0.05,0.75,min,0.0,1.0,0.6530705949324215,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8231696516322878,0.8348623853211009
0,42,context_noise,weak_heavy,0.1,0.75,linear,0.31,0.69,0.8795431500195586,31.0,18.0,51.0,0.31,0.18,0.51,0.49,0.12,0.2,0.9278918918918919,0.8018018018018018
0,42,context_noise,weak_heavy,0.1,0.75,geometric,0.05,0.95,0.7944519246757682,5.0,12.0,83.0,0.05,0.12,0.83,0.17,0.0,0.05,0.5942199358804559,0.7241379310344828
0,42,context_noise,weak_heavy,0.1,0.75,min,0.0,1.0,0.6598164374570537,0.0,1.0,99.0,0.0,0.01,0.99,0.01,0.0,0.0,0.7007783148231053,0.6666666666666666
0,42,context_noise,weak_heavy,0.15,0.75,linear,0.3,0.7,0.8777294854739714,30.0,22.0,48.0,0.3,0.22,0.48,0.52,0.08,0.22,0.8880560560560561,0.6129032258064516
0,42,context_noise,weak_heavy,0.15,0.75,geometric,0.09,0.91,0.7926592803859834,9.0,13.0,78.0,0.09,0.13,0.78,0.22,0.0,0.09,0.5254960252063073,0.5625
0,42,context_noise,weak_heavy,0.15,0.75,min,0.0,1.0,0.6903916438085572,0.0,3.0,97.0,0.0,0.03,0.97,0.03,0.0,0.0,0.5898159530280916,0.5267175572519084
0,42,context_noise,weak_heavy,0.2,0.75,linear,0.3,0.7,0.8743782653896868,30.0,22.0,48.0,0.3,0.22,0.48,0.52,0.14,0.18,0.8658418418418419,0.6129032258064516
0,42,context_noise,weak_heavy,0.2,0.75,geometric,0.09,0.91,0.8092068496942953,9.0,24.0,67.0,0.09,0.24,0.67,0.33,0.0,0.09,0.4712073695479586,0.5037593984962406
0,42,context_noise,weak_heavy,0.2,0.75,min,0.02,0.98,0.6933987770068064,2.0,12.0,86.0,0.02,0.12,0.86,0.14,0.0,0.02,0.5252522799881155,0.43884892086330934
1,43,context_noise,weak_heavy,0.0,0.75,linear,0.29,0.71,0.8945956543303679,29.0,16.0,55.0,0.29,0.16,0.55,0.45,0.29,0.0,1.0,1.0
1,43,context_noise,weak_heavy,0.0,0.75,geometric,0.0,1.0,0.8022033642874011,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,weak_heavy,0.0,0.75,min,0.0,1.0,0.6904253595793199,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
1,43,context_noise,weak_heavy,0.05,0.75,linear,0.29,0.71,0.8934750432974151,29.0,14.0,57.0,0.29,0.14,0.57,0.43,0.08,0.21,0.9610730730730732,0.8691588785046729
1,43,context_noise,weak_heavy,0.05,0.75,geometric,0.0,1.0,0.7993654292235195,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.7169427158665812,0.8691588785046729
1,43,context_noise,weak_heavy,0.05,0.75,min,0.0,1.0,0.6978015526281091,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8186480335411853,0.8181818181818182
1,43,context_noise,weak_heavy,0.1,0.75,linear,0.32,0.6799999999999999,0.898439866976348,32.0,15.0,53.0,0.32,0.15,0.53,0.47,0.08,0.24,0.9250570570570571,0.7857142857142857
1,43,context_noise,weak_heavy,0.1,0.75,geometric,0.03,0.97,0.8099064837915655,3.0,9.0,88.0,0.03,0.09,0.88,0.12,0.0,0.03,0.5807413956631015,0.7094017094017094
1,43,context_noise,weak_heavy,0.1,0.75,min,0.0,1.0,0.6836688312115637,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.685454853689054,0.6949152542372882
1,43,context_noise,weak_heavy,0.15,0.75,linear,0.29,0.71,0.8905684438563922,29.0,18.0,53.0,0.29,0.18,0.53,0.47,0.1,0.19,0.8921241241241242,0.7094017094017094
1,43,context_noise,weak_heavy,0.15,0.75,geometric,0.04,0.96,0.8134617793895502,4.0,16.0,80.0,0.04,0.16,0.8,0.2,0.0,0.04,0.5156054868521575,0.6129032258064516
1,43,context_noise,weak_heavy,0.15,0.75,min,0.0,1.0,0.6948204734900446,0.0,7.0,93.0,0.0,0.07,0.93,0.07,0.0,0.0,0.580568007825045,0.5625
1,43,context_noise,weak_heavy,0.2,0.75,linear,0.38,0.62,0.8933259673949777,38.0,15.0,47.0,0.38,0.15,0.47,0.53,0.09,0.29,0.8598438438438438,0.6260162601626016
1,43,context_noise,weak_heavy,0.2,0.75,geometric,0.15,0.85,0.8176572009776018,15.0,10.0,75.0,0.15,0.1,0.75,0.25,0.0,0.15,0.4751107449524029,0.5037593984962406
1,43,context_noise,weak_heavy,0.2,0.75,min,0.02,0.98,0.678458226230361,2.0,6.0,92.0,0.02,0.06,0.92,0.08,0.0,0.02,0.5051103554223463,0.5037593984962406
2,44,context_noise,weak_heavy,0.0,0.75,linear,0.31,0.69,0.878959753784046,31.0,10.0,59.0,0.31,0.1,0.59,0.41,0.31,0.0,1.0,1.0
2,44,context_noise,weak_heavy,0.0,0.75,geometric,0.0,1.0,0.7803025726880289,0.0,3.0,97.0,0.0,0.03,0.97,0.03,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,weak_heavy,0.0,0.75,min,0.0,1.0,0.6962999829431098,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,weak_heavy,0.05,0.75,linear,0.34,0.6599999999999999,0.8797748679616889,34.0,9.0,57.0,0.34,0.09,0.57,0.43,0.18,0.16,0.9611531531531533,0.8867924528301887
2,44,context_noise,weak_heavy,0.05,0.75,geometric,0.0,1.0,0.7810570558544141,0.0,4.0,96.0,0.0,0.04,0.96,0.04,0.0,0.0,0.7367972835919313,0.9047619047619048
2,44,context_noise,weak_heavy,0.05,0.75,min,0.0,1.0,0.6896157150140197,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8305665608725159,0.8518518518518519
2,44,context_noise,weak_heavy,0.1,0.75,linear,0.33,0.6699999999999999,0.8797511707130532,33.0,9.0,58.0,0.33,0.09,0.58,0.42,0.07,0.26,0.9259259259259259,0.8018018018018018
2,44,context_noise,weak_heavy,0.1,0.75,geometric,0.01,0.99,0.7933346779224877,1.0,5.0,94.0,0.01,0.05,0.94,0.06,0.0,0.01,0.5922382277521382,0.7857142857142857
2,44,context_noise,weak_heavy,0.1,0.75,min,0.0,1.0,0.6945935060193077,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7017290783469887,0.7857142857142857
