lambda,operator,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high,delta_r_bar_mean,delta_r_bar_std,delta_r_bar_ci_low,delta_r_bar_ci_high,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high
0.7,geometric,0.9651505754795661,0.0014501671891832594,0.9623841743119265,0.9679073185988322,0.8945174246065576,0.029222615767572853,0.8348623853211009,0.941747572815534,-0.010873737830205437,0.003540885635541602,-0.017951345344972683,-0.0044079700186515905,0.0,0.0,0.0,0.0,0.8067056146037958,0.010353946119637362,0.7859185144721424,0.8274118425811605
0.7,linear,0.925457757757758,0.002387341189560396,0.9205117117117116,0.9298826826826828,0.8063756752738164,0.04654970753070049,0.7094017094017094,0.8867924528301887,-0.027145891051503987,0.008253950145784405,-0.044990315785140345,-0.012522427729972753,0.00099,0.004351877622226852,0.0,0.02,0.8230936526911077,0.009873277778847984,0.8043329498613846,0.84179985943751
0.7,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.725,geometric,0.9827055671392826,0.0007660342156487548,0.9811968306922434,0.9842414512093409,0.9441402251383804,0.022465100876523918,0.9047619047619048,0.9801980198019802,-0.005359757460584991,0.002500532108532908,-0.011071659048819172,-0.0009488704654073257,0.0,0.0,0.0,0.0,0.8122195949734163,0.010141809683049561,0.7925274830614345,0.8323552476622241
0.725,linear,0.9639014254254255,0.0011742043305852721,0.9615413413413414,0.9660827827827827,0.8759841535489108,0.034573012252487295,0.8018018018018018,0.941747572815534,-0.016339012657531685,0.0052485147253843525,-0.027653005542165685,-0.006722045216597563,0.0224,0.022679381701324098,0.0,0.08,0.83390053108508,0.008513523469630113,0.8180901844961457,0.8502076554649732
0.725,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.75,geometric,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961
0.75,linear,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07748000000000002,0.03595194211919771,0.02,0.15,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862
0.75,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.775,geometric,0.9829796747289407,0.0007694843865375382,0.9815009382819013,0.9844579858215178,0.9416244953486438,0.022982037991225206,0.9047619047619048,0.9801980198019802,0.005293402717559039,0.0024254747918553143,0.0011300257971275224,0.010269252916823329,0.0,0.0,0.0,0.0,0.8228727551515604,0.00984754946812495,0.8035306683734184,0.8418339734399551
0.775,linear,0.9662438598598599,0.0010710159091717238,0.9639317317317319,0.9682127127127127,0.8608954452863354,0.03252669700098446,0.8018018018018018,0.9230769230769232,0.016321733651531552,0.004300433305479021,0.008109509821425198,0.025052734743734643,0.14518999999999999,0.041786481187221426,0.07,0.23,0.8665612773941433,0.007626097637819185,0.8523321884685298,0.8806344393815946
0.775,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.8,geometric,0.966286663886572,0.0014838486370811615,0.9633650959132609,0.9690995621351124,0.8861133027758945,0.029973826504641483,0.8181818181818182,0.941747572815534,0.010464602927103552,0.0034278016273727873,0.0044551444549565155,0.017742231219155177,0.0,0.0,0.0,0.0,0.828043955361105,0.009572102250997621,0.8099993886882034,0.8462831417092261
0.8,linear,0.9347454254254255,0.0019656511530474676,0.9307655655655657,0.9384027027027027,0.7425418277494196,0.03953688242338789,0.6666666666666666,0.8181818181818182,0.030197789297055806,0.005623434995489689,0.02031427020517627,0.04172199668871885,0.21383000000000002,0.0441336479217261,0.13,0.3,0.8804373330396674,0.00711016758025291,0.8666505614889914,0.8933250085399845
0.8,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
