sigma_r,operator,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high,delta_r_bar_mean,delta_r_bar_std,delta_r_bar_ci_low,delta_r_bar_ci_high,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high
0.0,geometric,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961
0.0,linear,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07748000000000002,0.03595194211919771,0.02,0.15,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862
0.0,min,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.02,geometric,0.9662922934483564,0.0012439125700237665,0.9637704908955309,0.9685470040103307,0.8947554296615785,0.0299560070782383,0.8348623853211009,0.941747572815534,0.0016536645408409215,0.0032194636028647717,-0.004437595543892667,0.007823616955418599,0.0,0.0,0.0,0.0,0.8192330169748423,0.010237476988383173,0.799846815093452,0.8397013528396697
0.02,linear,0.9442250519560222,0.0018565298322118587,0.9402397132187095,0.9477323063442182,0.8372588957968378,0.03529763361461763,0.7699115044247787,0.9047619047619048,0.004287782676426895,0.0046248046467461095,-0.004452573727947055,0.013282225591569503,0.08741000000000002,0.03435654627974518,0.03,0.16,0.8545273264190387,0.008318895269848078,0.8386271498060688,0.8705206561507689
0.02,min,0.9726754319491514,0.0014845335956241215,0.9697442380921728,0.9754466551953159,0.9273861630442668,0.025018088370712642,0.8863516134720508,0.9801980198019802,0.0005858199471922006,0.00268886791404661,-0.004619346023920207,0.005796829882377681,0.0,0.0,0.0,0.0,0.7449291946939407,0.011673852983468774,0.7225351917375413,0.7668898704440728
0.05,geometric,0.9162414900277388,0.002945019031161193,0.9106827431766665,0.9220374478412068,0.7619909730357766,0.037006885530957226,0.6949152542372882,0.8348623853211009,0.00948358824278342,0.00596250274319796,-0.001769667196006987,0.021209469633041184,0.0,0.0,0.0,0.0,0.8270629406767849,0.0106158782239958,0.8067593553620762,0.8473610720403252
0.05,linear,0.8629291570198556,0.0042712477192025314,0.8545383687892687,0.8708691440983531,0.658944845474524,0.040484143208937756,0.5873015873015873,0.7391304347826086,0.020691437914515283,0.007250730727394678,0.006661815964892888,0.03424244989020963,0.12227,0.03348833481331326,0.06,0.19,0.8709309816571269,0.008739423047384658,0.8540552194819099,0.8877448039062023
0.05,min,0.9321192417155997,0.0036846389152932636,0.9250050890661057,0.9396039193988744,0.8382056989278543,0.03530532868405668,0.7699115044247787,0.9047619047619048,0.004468541600073379,0.005074790048361446,-0.005696839261433222,0.014340051909649558,0.0,0.0,0.0,0.0,0.7488119163468219,0.01179104046546077,0.7260017311458822,0.7710811801054178
0.1,geometric,0.8370586188433117,0.005405877762392211,0.8267770463843463,0.8475492362696888,0.596046420213579,0.043035914611360936,0.5151515151515151,0.680672268907563,0.03170152035220937,0.009591261034772496,0.01324491207095042,0.05092929225899884,0.0,0.0,0.0,0.0,0.8492808727862107,0.011950223624358783,0.8253596712844973,0.8724564726241177
0.1,linear,0.7390028787402747,0.007934143544351447,0.7233966106846517,0.7534447090528886,0.4780550691099581,0.04516243092832945,0.3888888888888889,0.5628075787401572,0.05059335273457898,0.01069451431562968,0.029978827096684296,0.07026878388151271,0.14995,0.05782595733181891,0.01,0.24024999999999977,0.9008328964771908,0.009532074127568627,0.8820265020252137,0.9186620686911126
0.1,min,0.86771030297153,0.006719364212165956,0.8550595283528379,0.8808585714215349,0.714767397573311,0.04232173519982394,0.6260162601626016,0.8018018018018018,0.015871376329386552,0.00854190089683366,-0.0017832161420012324,0.0319226940464401,0.0,0.0,0.0,0.0,0.7602147510761349,0.012600070262421777,0.7360126546501905,0.7847443576966133
0.2,geometric,0.7049157004745276,0.00960621189864473,0.685084829958947,0.7226118687235444,0.40212521048084626,0.04042143954747478,0.3245033112582781,0.4814814814814814,0.08960405059316659,0.012030892850122698,0.06579448414177205,0.11295220733231363,0.0,0.0,0.0,0.0,0.9071834030271679,0.011822281664395948,0.8836318431005538,0.9292665127679154
0.2,linear,0.5453529938785987,0.013962004725677601,0.516116053193293,0.5713812739278008,0.335615729837794,0.03882959780697803,0.2578616352201258,0.4087004295275195,0.08271074175758032,0.01176474334398746,0.05890220627391991,0.10473816469293573,0.0014,0.010234488005989587,0.0,0.01,0.9329502855001921,0.009825005524200212,0.9120243468970631,0.9518603882300908
0.2,min,0.7571882771797225,0.011027713252333118,0.7350395492933913,0.7780211270267059,0.5405108276369373,0.04344845339146031,0.4598540145985401,0.6260162601626016,0.053085144448434325,0.013376457809321804,0.027931421648918445,0.08064668968653088,0.0,0.0,0.0,0.0,0.7974285191951828,0.015028332633413615,0.7686355303108763,0.8260292079198613
