trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
0,42,lambda_perturbation,linear,0.7,0.9267187187187187,0.8867924528301887,-0.012857178760850019,0.0,0.83233840107915
0,42,lambda_perturbation,linear,0.725,0.9645925925925926,0.9230769230769231,-0.0086586853896512,0.01,0.8365368944503488
0,42,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.03,0.84519557984
0,42,lambda_perturbation,linear,0.775,0.9677597597597599,0.8691588785046729,0.01592226868731872,0.1,0.8611178485273188
0,42,lambda_perturbation,linear,0.8,0.9369409409409409,0.7391304347826086,0.028838307545913988,0.16,0.874033887385914
0,42,lambda_perturbation,geometric,0.7,0.967064220183486,0.8691588785046729,-0.01602236462448625,0.0,0.8130518027125068
0,42,lambda_perturbation,geometric,0.725,0.9836655546288573,0.9230769230769231,-0.010269670900331818,0.0,0.8188044964366612
0,42,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.829074167336993
0,42,lambda_perturbation,geometric,0.775,0.9840700583819848,0.9607843137254902,0.0040631775292219174,0.0,0.8331373448662149
0,42,lambda_perturbation,geometric,0.8,0.968135946622185,0.9047619047619048,0.007811126607690899,0.0,0.8368852939446839
0,42,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
0,42,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
0,42,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
0,42,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
0,42,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
1,43,lambda_perturbation,linear,0.7,0.9268708708708709,0.8867924528301887,-0.013277329299395846,0.0,0.8397913015769569
1,43,lambda_perturbation,linear,0.725,0.9644684684684686,0.941747572815534,-0.00467367839081001,0.0,0.8483949524855428
1,43,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.02,0.8530686308763528
1,43,lambda_perturbation,linear,0.775,0.9665665665665667,0.8691588785046729,0.0163266559342371,0.07,0.8693952868105899
1,43,lambda_perturbation,linear,0.8,0.9357077077077077,0.7391304347826086,0.030967995764947243,0.14,0.8840366266413
1,43,lambda_perturbation,geometric,0.7,0.964274395329441,0.8691588785046729,-0.01554441333604173,0.0,0.8209287383462887
1,43,lambda_perturbation,geometric,0.725,0.9825604670558798,0.9230769230769231,-0.01006609459302188,0.0,0.8264070570893085
1,43,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8364731516823304
1,43,lambda_perturbation,geometric,0.775,0.9823227689741449,0.9607843137254902,0.0035263065693705853,0.0,0.839999458251701
1,43,lambda_perturbation,geometric,0.8,0.964391159299416,0.9047619047619048,0.008345762903389398,0.0,0.8448189145857198
1,43,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7448821381783003
1,43,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7448821381783003
1,43,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7448821381783003
1,43,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7448821381783003
1,43,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7448821381783003
