lambda,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,veto_preservation_rate_mean,veto_preservation_rate_std,veto_preservation_rate_ci_low,veto_preservation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high
0.0,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4993410575699376,0.02261487925146917,0.4552133500391438,0.5415050752889479
0.0,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4993410575699376,0.02261487925146917,0.4552133500391438,0.5415050752889479
0.0,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.05,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5215288586197496,0.022599542813468276,0.4739304901903267,0.5664346275709178
0.05,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5404741017810263,0.02164517762537742,0.4978127150235486,0.5826735861083514
0.05,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.1,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5450708184914822,0.022194042523254014,0.5013600901770314,0.5872497823848517
0.1,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5797733637581468,0.019912644677051564,0.5416351385241394,0.6176649380866766
0.1,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.15,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5709403843697001,0.021694565160954936,0.5288809739176973,0.6115716899024303
0.15,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6147223784463915,0.018747633694789715,0.580833119963834,0.6525112806812727
0.15,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.2,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5991460142457615,0.021146605149044973,0.556966108318964,0.6369180011329232
0.2,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6442943897512325,0.017562300588000134,0.6104631008310669,0.678637858833916
0.2,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.25,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6294404982580395,0.02028968300348942,0.5911815006929741,0.6694278063664016
0.25,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.669498843173178,0.016883140170133187,0.6371317373649982,0.7027308062290513
0.25,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.3,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6600623014683813,0.019255658051618992,0.6246770801219331,0.6970290936195729
0.3,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6910392302081381,0.015999501202047493,0.659726392784237,0.7202356602471286
0.3,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.35,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6889125320374302,0.017371977955069912,0.6553151520934657,0.7235504774147827
0.35,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7103719076343691,0.014977326649370935,0.6817977897394943,0.73927547700279
0.35,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.4,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7147775529756542,0.01573887638704976,0.6857841187639349,0.7455231933572146
0.4,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7275207082997729,0.013833028665257551,0.701187632478961,0.7556095047363692
0.4,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.45,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7378332301241554,0.014421321275126919,0.7100044152946877,0.7662235753984324
0.45,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7431689716720609,0.01312553269835751,0.7189603185175089,0.7690609281499216
0.45,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.5,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159
0.5,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546
0.5,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.55,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7770691323560971,0.01243205306060444,0.7534891888557977,0.800439169462788
0.55,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7707582681871374,0.01193924058470327,0.74826772063746,0.7933760352833249
0.55,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.6000000000000001,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7940241288845541,0.011388661013089907,0.7718281641461973,0.8157645093252257
0.6000000000000001,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.783361527586362,0.011356216144536439,0.7611134625045411,0.8053920846155302
0.6000000000000001,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.65,linear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.809281416122615,0.01063633832898575,0.78817438820629,0.8304831853469155
0.65,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7953005942187125,0.010841690942227342,0.7750369308743266,0.8165115714477491
0.65,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.7000000000000001,linear,0.00099,0.004351877622226852,0.0,0.02,0.99901,0.004351877622226856,0.98,1.0,0.8230936526911077,0.009873277778847984,0.8043329498613846,0.84179985943751
0.7000000000000001,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8067056146037958,0.010353946119637362,0.7859185144721424,0.8274118425811605
0.7000000000000001,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.75,linear,0.07748000000000002,0.03595194211919771,0.02,0.15,0.92252,0.035951942119197694,0.85,0.98,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862
0.75,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961
0.75,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.8,linear,0.21383000000000002,0.0441336479217261,0.13,0.3,0.78617,0.04413364792172611,0.7,0.87,0.8804373330396674,0.00711016758025291,0.8666505614889914,0.8933250085399845
0.8,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.828043955361105,0.009572102250997621,0.8099993886882034,0.8462831417092261
0.8,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.8500000000000001,linear,0.34489,0.046717988724585206,0.25,0.43,0.65511,0.04671798872458518,0.5700000000000001,0.75,0.9007519919954708,0.006035419628151338,0.8889774207873076,0.9123052072826245
0.8500000000000001,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8379460517565797,0.009255091637097146,0.819700422237474,0.8551900994939036
0.8500000000000001,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.9,linear,0.46188,0.04728743703883413,0.37,0.55,0.53812,0.047287437038834146,0.4499999999999999,0.63,0.9127894076398806,0.005452317596798979,0.9015882637575885,0.9234924341529027
0.9,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8466790864767397,0.008894141260208597,0.8295108344497604,0.8634981672956441
0.9,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
0.95,linear,0.56107,0.04638001947181788,0.46975,0.65,0.43892999999999993,0.046380019471817885,0.35,0.5302499999999998,0.9185029319877688,0.0051916077175579115,0.9080005949467336,0.9288901402804001
0.95,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8531215639080724,0.008720427757937858,0.836145717390002,0.870308105587247
0.95,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
1.0,linear,0.6438899999999999,0.04457976284431373,0.55,0.73,0.35611000000000004,0.04457976284431374,0.27,0.4499999999999999,0.9200090562230662,0.005122269299436155,0.9096728296948693,0.930222442706493
1.0,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8554630098888729,0.008687758409208095,0.8384942801219557,0.8727291452759357
1.0,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257
