trial,seed,operator_a,operator_b,kendall_tau,jaccard_top_k
0,42,linear@0.50,linear@0.10,0.08086279917265832,0.3986013986013986
0,42,linear@0.90,linear@0.10,-0.25464159811985904,0.08108108108108109
0,42,geometric@0.10,linear@0.10,0.8063200815494395,0.8348623853211009
0,42,geometric@0.50,linear@0.10,0.071455938697318,0.3793103448275862
0,42,geometric@0.90,linear@0.10,-0.24143029977147468,0.15606936416184972
0,42,min,linear@0.10,0.040658687717511244,0.2987012987012987
0,42,linear@0.90,linear@0.50,0.04308176100628931,0.25
0,42,geometric@0.10,linear@0.50,0.14016714270601924,0.4492753623188406
0,42,geometric@0.50,linear@0.50,0.9112887873596041,0.941747572815534
0,42,geometric@0.90,linear@0.50,0.2095631016608484,0.4492753623188406
0,42,min,linear@0.50,0.4973580815607641,0.639344262295082
0,42,geometric@0.10,linear@0.90,-0.29815024368339044,0.08695652173913043
0,42,geometric@0.50,linear@0.90,-0.03764846217268334,0.2422360248447205
0,42,geometric@0.90,linear@0.90,0.3759167236666668,0.42857142857142855
0,42,min,linear@0.90,-0.09158660340433222,0.1695906432748538
0,42,geometric@0.50,geometric@0.10,0.13114080164439876,0.42857142857142855
0,42,geometric@0.90,geometric@0.10,-0.21344040574809808,0.1834319526627219
0,42,min,geometric@0.10,0.09740613096317793,0.3422818791946309
0,42,geometric@0.90,geometric@0.50,0.17151496194348867,0.43884892086330934
0,42,min,geometric@0.50,0.5547642785927931,0.680672268907563
0,42,min,geometric@0.90,0.08724832214765099,0.3422818791946309
1,43,linear@0.50,linear@0.10,0.018018018018018018,0.35135135135135137
1,43,linear@0.90,linear@0.10,-0.34547479810637705,0.05263157894736842
1,43,geometric@0.10,linear@0.10,0.7377734877734876,0.7857142857142857
1,43,geometric@0.50,linear@0.10,0.003809178305822601,0.3422818791946309
1,43,geometric@0.90,linear@0.10,-0.34539452802640774,0.12359550561797752
1,43,min,linear@0.10,-0.04281222284931066,0.26582278481012656
1,43,linear@0.90,linear@0.50,-0.09270615395714596,0.19760479041916168
1,43,geometric@0.10,linear@0.50,0.10354609929078014,0.41843971631205673
1,43,geometric@0.50,linear@0.50,0.878267363704257,0.9230769230769231
1,43,geometric@0.90,linear@0.50,0.06155816014970944,0.3986013986013986
1,43,min,linear@0.50,0.5149708711556699,0.639344262295082
1,43,geometric@0.10,linear@0.90,-0.375871207034094,0.06951871657754011
1,43,geometric@0.50,linear@0.90,-0.167410139424823,0.17647058823529413
1,43,geometric@0.90,linear@0.90,0.31411619346478287,0.4084507042253521
1,43,min,linear@0.90,-0.1601945114295766,0.11731843575418995
1,43,geometric@0.50,geometric@0.10,0.08820297672560183,0.4084507042253521
1,43,geometric@0.90,geometric@0.10,-0.31321414168571043,0.15606936416184972
1,43,min,geometric@0.10,0.030286975717439293,0.32450331125827814
1,43,geometric@0.90,geometric@0.50,0.03166278166278166,0.3888888888888889
1,43,min,geometric@0.50,0.592436974789916,0.6666666666666666
1,43,min,geometric@0.90,0.014830330959363215,0.2903225806451613
2,44,linear@0.50,linear@0.10,0.12705167173252277,0.41843971631205673
2,44,linear@0.90,linear@0.10,-0.2830811241324383,0.06382978723404255
2,44,geometric@0.10,linear@0.10,0.8246181491464512,0.8867924528301887
2,44,geometric@0.50,linear@0.10,0.09961685823754789,0.3793103448275862
2,44,geometric@0.90,linear@0.10,-0.2670254468141652,0.14942528735632185
2,44,min,linear@0.10,0.03009975920192639,0.30718954248366015
2,44,linear@0.90,linear@0.50,-0.048703906535231836,0.20481927710843373
