sigma_r,top_k,config_id,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high
0.0,10,geometric@0.10,0.0,0.0,0.0,0.0
0.0,10,geometric@0.50,0.0,0.0,0.0,0.0
0.0,10,geometric@0.90,0.0,0.0,0.0,0.0
0.0,10,linear@0.10,0.0,0.0,0.0,0.0
0.0,10,linear@0.50,0.0,0.0,0.0,0.0
0.0,10,linear@0.90,0.048,0.084042031526273,0.0,0.3
0.0,10,min,0.0,0.0,0.0,0.0
0.0,20,geometric@0.10,0.0,0.0,0.0,0.0
0.0,20,geometric@0.50,0.0,0.0,0.0,0.0
0.0,20,geometric@0.90,0.0,0.0,0.0,0.0
0.0,20,linear@0.10,0.0,0.0,0.0,0.0
0.0,20,linear@0.50,0.0,0.0,0.0,0.0
0.0,20,linear@0.90,0.2028,0.10643537235566233,0.05,0.45
0.0,20,min,0.0,0.0,0.0,0.0
0.0,30,geometric@0.10,0.0,0.0,0.0,0.0
0.0,30,geometric@0.50,0.0,0.0,0.0,0.0
0.0,30,geometric@0.90,0.0,0.0,0.0,0.0
0.0,30,linear@0.10,0.0,0.0,0.0,0.0
0.0,30,linear@0.50,0.0,0.0,0.0,0.0
0.0,30,linear@0.90,0.29656666666666665,0.09271298079513476,0.1333333333333333,0.5
0.0,30,min,0.0,0.0,0.0,0.0
0.0,40,geometric@0.10,0.0,0.0,0.0,0.0
0.0,40,geometric@0.50,0.0,0.0,0.0,0.0
0.0,40,geometric@0.90,0.0,0.0,0.0,0.0
0.0,40,linear@0.10,0.0,0.0,0.0,0.0
0.0,40,linear@0.50,0.0,0.0,0.0,0.0
0.0,40,linear@0.90,0.35280000000000006,0.07995969955892501,0.2,0.5
0.0,40,min,0.0,0.0,0.0,0.0
0.0,50,geometric@0.10,0.0,0.0,0.0,0.0
0.0,50,geometric@0.50,0.0,0.0,0.0,0.0
0.0,50,geometric@0.90,0.0,0.0,0.0,0.0
0.0,50,linear@0.10,0.0,0.0,0.0,0.0
0.0,50,linear@0.50,0.0,0.0,0.0,0.0
0.0,50,linear@0.90,0.3890600000000001,0.07072282600489123,0.25950000000000006,0.52
0.0,50,min,0.0,0.0,0.0,0.0
