trial,seed,sigma_r,top_k,config_id,clipped_non_veto_top_k_share,vetoed_top_k_share,other_top_k_share
0,42,0.0,10,linear@0.90,0.0,0.0,1.0
0,42,0.0,20,linear@0.90,0.0,0.05,0.95
0,42,0.0,30,linear@0.90,0.0,0.1,0.9
0,42,0.0,40,linear@0.90,0.0,0.175,0.825
0,42,0.0,50,linear@0.90,0.0,0.24,0.76
0,42,0.0,60,linear@0.90,0.0,0.3,0.7
0,42,0.0,70,linear@0.90,0.0,0.34285714285714286,0.6571428571428571
0,42,0.0,80,linear@0.90,0.0,0.3625,0.6375
0,42,0.0,90,linear@0.90,0.0,0.4,0.6
0,42,0.0,100,linear@0.90,0.0,0.4,0.6
0,42,0.05,10,linear@0.90,0.2,0.0,0.8
0,42,0.05,20,linear@0.90,0.1,0.2,0.7
0,42,0.05,30,linear@0.90,0.06666666666666667,0.26666666666666666,0.6666666666666666
0,42,0.05,40,linear@0.90,0.05,0.325,0.625
0,42,0.05,50,linear@0.90,0.04,0.32,0.64
0,42,0.05,60,linear@0.90,0.03333333333333333,0.3333333333333333,0.6333333333333333
0,42,0.05,70,linear@0.90,0.02857142857142857,0.35714285714285715,0.6142857142857143
0,42,0.05,80,linear@0.90,0.025,0.3625,0.6125
0,42,0.05,90,linear@0.90,0.022222222222222223,0.4111111111111111,0.5666666666666667
0,42,0.05,100,linear@0.90,0.02,0.43,0.55
0,42,0.1,10,linear@0.90,0.3,0.0,0.7
0,42,0.1,20,linear@0.90,0.4,0.0,0.6
0,42,0.1,30,linear@0.90,0.3,0.16666666666666666,0.5333333333333333
0,42,0.1,40,linear@0.90,0.225,0.35,0.425
0,42,0.1,50,linear@0.90,0.18,0.38,0.44
0,42,0.1,60,linear@0.90,0.15,0.35,0.5
0,42,0.1,70,linear@0.90,0.12857142857142856,0.38571428571428573,0.4857142857142857
0,42,0.1,80,linear@0.90,0.1125,0.4,0.4875
0,42,0.1,90,linear@0.90,0.1,0.37777777777777777,0.5222222222222223
0,42,0.1,100,linear@0.90,0.09,0.42,0.49
0,42,0.2,10,linear@0.90,0.9,0.0,0.1
0,42,0.2,20,linear@0.90,0.8,0.0,0.2
0,42,0.2,30,linear@0.90,0.7333333333333333,0.0,0.26666666666666666
0,42,0.2,40,linear@0.90,0.65,0.0,0.35
0,42,0.2,50,linear@0.90,0.54,0.02,0.44
0,42,0.2,60,linear@0.90,0.45,0.18333333333333332,0.36666666666666664
0,42,0.2,70,linear@0.90,0.38571428571428573,0.3,0.3142857142857143
0,42,0.2,80,linear@0.90,0.3375,0.3875,0.275
0,42,0.2,90,linear@0.90,0.3,0.45555555555555555,0.24444444444444444
0,42,0.2,100,linear@0.90,0.27,0.45,0.28
1,43,0.0,10,linear@0.90,0.0,0.0,1.0
1,43,0.0,20,linear@0.90,0.0,0.25,0.75
1,43,0.0,30,linear@0.90,0.0,0.26666666666666666,0.7333333333333333
1,43,0.0,40,linear@0.90,0.0,0.275,0.725
1,43,0.0,50,linear@0.90,0.0,0.28,0.72
1,43,0.0,60,linear@0.90,0.0,0.3,0.7
1,43,0.0,70,linear@0.90,0.0,0.3142857142857143,0.6857142857142857
1,43,0.0,80,linear@0.90,0.0,0.3375,0.6625
1,43,0.0,90,linear@0.90,0.0,0.34444444444444444,0.6555555555555556
1,43,0.0,100,linear@0.90,0.0,0.39,0.61
1,43,0.05,10,linear@0.90,0.4,0.0,0.6
1,43,0.05,20,linear@0.90,0.2,0.25,0.55
1,43,0.05,30,linear@0.90,0.13333333333333333,0.26666666666666666,0.6
1,43,0.05,40,linear@0.90,0.1,0.3,0.6
1,43,0.05,50,linear@0.90,0.08,0.28,0.64
1,43,0.05,60,linear@0.90,0.06666666666666667,0.31666666666666665,0.6166666666666667
1,43,0.05,70,linear@0.90,0.05714285714285714,0.34285714285714286,0.6
1,43,0.05,80,linear@0.90,0.05,0.3625,0.5875
1,43,0.05,90,linear@0.90,0.044444444444444446,0.35555555555555557,0.6
1,43,0.05,100,linear@0.90,0.04,0.39,0.57
1,43,0.1,10,linear@0.90,0.7,0.0,0.3
1,43,0.1,20,linear@0.90,0.65,0.0,0.35
1,43,0.1,30,linear@0.90,0.5666666666666667,0.0,0.43333333333333335
1,43,0.1,40,linear@0.90,0.425,0.125,0.45
1,43,0.1,50,linear@0.90,0.34,0.28,0.38
1,43,0.1,60,linear@0.90,0.2833333333333333,0.35,0.36666666666666664
1,43,0.1,70,linear@0.90,0.24285714285714285,0.35714285714285715,0.4
1,43,0.1,80,linear@0.90,0.2125,0.3625,0.425
1,43,0.1,90,linear@0.90,0.18888888888888888,0.36666666666666664,0.4444444444444444
1,43,0.1,100,linear@0.90,0.17,0.39,0.44
1,43,0.2,10,linear@0.90,0.9,0.0,0.1
1,43,0.2,20,linear@0.90,0.8,0.0,0.2
1,43,0.2,30,linear@0.90,0.8,0.0,0.2
1,43,0.2,40,linear@0.90,0.775,0.0,0.225
1,43,0.2,50,linear@0.90,0.72,0.0,0.28
1,43,0.2,60,linear@0.90,0.65,0.0,0.35
1,43,0.2,70,linear@0.90,0.5571428571428572,0.14285714285714285,0.3
1,43,0.2,80,linear@0.90,0.4875,0.25,0.2625
1,43,0.2,90,linear@0.90,0.43333333333333335,0.3333333333333333,0.23333333333333334
1,43,0.2,100,linear@0.90,0.39,0.4,0.21
2,44,0.0,10,linear@0.90,0.0,0.1,0.9
2,44,0.0,20,linear@0.90,0.0,0.25,0.75
2,44,0.0,30,linear@0.90,0.0,0.26666666666666666,0.7333333333333333
2,44,0.0,40,linear@0.90,0.0,0.35,0.65
2,44,0.0,50,linear@0.90,0.0,0.38,0.62
2,44,0.0,60,linear@0.90,0.0,0.4666666666666667,0.5333333333333333
2,44,0.0,70,linear@0.90,0.0,0.5,0.5
2,44,0.0,80,linear@0.90,0.0,0.5375,0.4625
2,44,0.0,90,linear@0.90,0.0,0.5333333333333333,0.4666666666666667
2,44,0.0,100,linear@0.90,0.0,0.51,0.49
2,44,0.05,10,linear@0.90,0.4,0.0,0.6
2,44,0.05,20,linear@0.90,0.2,0.45,0.35
2,44,0.05,30,linear@0.90,0.13333333333333333,0.4,0.4666666666666667
2,44,0.05,40,linear@0.90,0.1,0.45,0.45
2,44,0.05,50,linear@0.90,0.08,0.44,0.48
2,44,0.05,60,linear@0.90,0.06666666666666667,0.45,0.48333333333333334
2,44,0.05,70,linear@0.90,0.05714285714285714,0.4714285714285714,0.4714285714285714
2,44,0.05,80,linear@0.90,0.05,0.475,0.475
2,44,0.05,90,linear@0.90,0.044444444444444446,0.4888888888888889,0.4666666666666667
2,44,0.05,100,linear@0.90,0.04,0.5,0.46
2,44,0.1,10,linear@0.90,0.4,0.0,0.6
2,44,0.1,20,linear@0.90,0.25,0.05,0.7
2,44,0.1,30,linear@0.90,0.16666666666666666,0.36666666666666664,0.4666666666666667
2,44,0.1,40,linear@0.90,0.125,0.525,0.35
2,44,0.1,50,linear@0.90,0.1,0.58,0.32
2,44,0.1,60,linear@0.90,0.08333333333333333,0.55,0.36666666666666664
2,44,0.1,70,linear@0.90,0.07142857142857142,0.5428571428571428,0.38571428571428573
2,44,0.1,80,linear@0.90,0.0625,0.5125,0.425
2,44,0.1,90,linear@0.90,0.05555555555555555,0.4888888888888889,0.45555555555555555
2,44,0.1,100,linear@0.90,0.05,0.47,0.48
2,44,0.2,10,linear@0.90,0.9,0.0,0.1
2,44,0.2,20,linear@0.90,0.9,0.0,0.1
2,44,0.2,30,linear@0.90,0.9,0.0,0.1
2,44,0.2,40,linear@0.90,0.775,0.0,0.225
2,44,0.2,50,linear@0.90,0.72,0.0,0.28
2,44,0.2,60,linear@0.90,0.6166666666666667,0.03333333333333333,0.35
2,44,0.2,70,linear@0.90,0.5285714285714286,0.17142857142857143,0.3
2,44,0.2,80,linear@0.90,0.4625,0.275,0.2625
2,44,0.2,90,linear@0.90,0.4111111111111111,0.35555555555555557,0.23333333333333334
2,44,0.2,100,linear@0.90,0.37,0.42,0.21
3,45,0.0,10,linear@0.90,0.0,0.0,1.0
3,45,0.0,20,linear@0.90,0.0,0.2,0.8
3,45,0.0,30,linear@0.90,0.0,0.26666666666666666,0.7333333333333333
3,45,0.0,40,linear@0.90,0.0,0.35,0.65
3,45,0.0,50,linear@0.90,0.0,0.4,0.6
3,45,0.0,60,linear@0.90,0.0,0.45,0.55
3,45,0.0,70,linear@0.90,0.0,0.4714285714285714,0.5285714285714286
3,45,0.0,80,linear@0.90,0.0,0.4875,0.5125
3,45,0.0,90,linear@0.90,0.0,0.5333333333333333,0.4666666666666667
3,45,0.0,100,linear@0.90,0.0,0.52,0.48
3,45,0.05,10,linear@0.90,0.2,0.0,0.8
3,45,0.05,20,linear@0.90,0.1,0.4,0.5
3,45,0.05,30,linear@0.90,0.06666666666666667,0.5,0.43333333333333335
3,45,0.05,40,linear@0.90,0.05,0.55,0.4
3,45,0.05,50,linear@0.90,0.04,0.52,0.44
3,45,0.05,60,linear@0.90,0.03333333333333333,0.5,0.4666666666666667
3,45,0.05,70,linear@0.90,0.02857142857142857,0.5428571428571428,0.42857142857142855
3,45,0.05,80,linear@0.90,0.025,0.4875,0.4875
3,45,0.05,90,linear@0.90,0.022222222222222223,0.4888888888888889,0.4888888888888889
3,45,0.05,100,linear@0.90,0.02,0.48,0.5
3,45,0.1,10,linear@0.90,0.6,0.0,0.4
3,45,0.1,20,linear@0.90,0.45,0.0,0.55
3,45,0.1,30,linear@0.90,0.36666666666666664,0.2,0.43333333333333335
3,45,0.1,40,linear@0.90,0.275,0.4,0.325
3,45,0.1,50,linear@0.90,0.22,0.52,0.26
3,45,0.1,60,linear@0.90,0.18333333333333332,0.5166666666666667,0.3
3,45,0.1,70,linear@0.90,0.15714285714285714,0.5,0.34285714285714286
3,45,0.1,80,linear@0.90,0.1375,0.4875,0.375
3,45,0.1,90,linear@0.90,0.12222222222222222,0.4888888888888889,0.3888888888888889
3,45,0.1,100,linear@0.90,0.11,0.48,0.41
3,45,0.2,10,linear@0.90,0.8,0.0,0.2
3,45,0.2,20,linear@0.90,0.85,0.0,0.15
3,45,0.2,30,linear@0.90,0.7666666666666667,0.0,0.23333333333333334
3,45,0.2,40,linear@0.90,0.775,0.0,0.225
3,45,0.2,50,linear@0.90,0.66,0.08,0.26
3,45,0.2,60,linear@0.90,0.55,0.23333333333333334,0.21666666666666667
3,45,0.2,70,linear@0.90,0.4714285714285714,0.34285714285714286,0.18571428571428572
3,45,0.2,80,linear@0.90,0.4125,0.3875,0.2
3,45,0.2,90,linear@0.90,0.36666666666666664,0.37777777777777777,0.25555555555555554
3,45,0.2,100,linear@0.90,0.33,0.4,0.27
4,46,0.0,10,linear@0.90,0.0,0.1,0.9
4,46,0.0,20,linear@0.90,0.0,0.2,0.8
4,46,0.0,30,linear@0.90,0.0,0.36666666666666664,0.6333333333333333
4,46,0.0,40,linear@0.90,0.0,0.325,0.675
4,46,0.0,50,linear@0.90,0.0,0.36,0.64
4,46,0.0,60,linear@0.90,0.0,0.4,0.6
4,46,0.0,70,linear@0.90,0.0,0.45714285714285713,0.5428571428571428
4,46,0.0,80,linear@0.90,0.0,0.4625,0.5375
4,46,0.0,90,linear@0.90,0.0,0.4777777777777778,0.5222222222222223
4,46,0.0,100,linear@0.90,0.0,0.48,0.52
4,46,0.05,10,linear@0.90,0.1,0.0,0.9
4,46,0.05,20,linear@0.90,0.05,0.45,0.5
4,46,0.05,30,linear@0.90,0.03333333333333333,0.43333333333333335,0.5333333333333333
4,46,0.05,40,linear@0.90,0.025,0.375,0.6
4,46,0.05,50,linear@0.90,0.02,0.42,0.56
4,46,0.05,60,linear@0.90,0.016666666666666666,0.43333333333333335,0.55
4,46,0.05,70,linear@0.90,0.014285714285714285,0.4714285714285714,0.5142857142857142
4,46,0.05,80,linear@0.90,0.0125,0.475,0.5125
4,46,0.05,90,linear@0.90,0.011111111111111112,0.45555555555555555,0.5333333333333333
4,46,0.05,100,linear@0.90,0.01,0.45,0.54
4,46,0.1,10,linear@0.90,0.7,0.0,0.3
4,46,0.1,20,linear@0.90,0.55,0.0,0.45
4,46,0.1,30,linear@0.90,0.4666666666666667,0.1,0.43333333333333335
4,46,0.1,40,linear@0.90,0.35,0.325,0.325
4,46,0.1,50,linear@0.90,0.28,0.4,0.32
4,46,0.1,60,linear@0.90,0.23333333333333334,0.4,0.36666666666666664
4,46,0.1,70,linear@0.90,0.2,0.42857142857142855,0.37142857142857144
4,46,0.1,80,linear@0.90,0.175,0.45,0.375
4,46,0.1,90,linear@0.90,0.15555555555555556,0.45555555555555555,0.3888888888888889
4,46,0.1,100,linear@0.90,0.14,0.45,0.41
4,46,0.2,10,linear@0.90,1.0,0.0,0.0
4,46,0.2,20,linear@0.90,0.95,0.0,0.05
4,46,0.2,30,linear@0.90,0.9333333333333333,0.0,0.06666666666666667
4,46,0.2,40,linear@0.90,0.875,0.0,0.125
4,46,0.2,50,linear@0.90,0.78,0.0,0.22
4,46,0.2,60,linear@0.90,0.75,0.0,0.25
4,46,0.2,70,linear@0.90,0.6428571428571429,0.1,0.2571428571428571
4,46,0.2,80,linear@0.90,0.5625,0.2125,0.225
4,46,0.2,90,linear@0.90,0.5,0.3,0.2
4,46,0.2,100,linear@0.90,0.45,0.37,0.18
5,47,0.0,10,linear@0.90,0.0,0.0,1.0
5,47,0.0,20,linear@0.90,0.0,0.3,0.7
5,47,0.0,30,linear@0.90,0.0,0.3333333333333333,0.6666666666666666
5,47,0.0,40,linear@0.90,0.0,0.425,0.575
5,47,0.0,50,linear@0.90,0.0,0.46,0.54
5,47,0.0,60,linear@0.90,0.0,0.48333333333333334,0.5166666666666667
5,47,0.0,70,linear@0.90,0.0,0.5142857142857142,0.4857142857142857
5,47,0.0,80,linear@0.90,0.0,0.4875,0.5125
5,47,0.0,90,linear@0.90,0.0,0.5,0.5
5,47,0.0,100,linear@0.90,0.0,0.48,0.52
5,47,0.05,10,linear@0.90,0.3,0.0,0.7
5,47,0.05,20,linear@0.90,0.15,0.35,0.5
5,47,0.05,30,linear@0.90,0.1,0.4,0.5
5,47,0.05,40,linear@0.90,0.075,0.475,0.45
5,47,0.05,50,linear@0.90,0.06,0.44,0.5
5,47,0.05,60,linear@0.90,0.05,0.45,0.5
5,47,0.05,70,linear@0.90,0.04285714285714286,0.4714285714285714,0.4857142857142857
5,47,0.05,80,linear@0.90,0.0375,0.4625,0.5
5,47,0.05,90,linear@0.90,0.03333333333333333,0.4666666666666667,0.5
5,47,0.05,100,linear@0.90,0.03,0.48,0.49
5,47,0.1,10,linear@0.90,0.6,0.0,0.4
5,47,0.1,20,linear@0.90,0.35,0.0,0.65
5,47,0.1,30,linear@0.90,0.23333333333333334,0.26666666666666666,0.5
5,47,0.1,40,linear@0.90,0.175,0.45,0.375
5,47,0.1,50,linear@0.90,0.14,0.54,0.32
5,47,0.1,60,linear@0.90,0.11666666666666667,0.48333333333333334,0.4
5,47,0.1,70,linear@0.90,0.1,0.4714285714285714,0.42857142857142855
5,47,0.1,80,linear@0.90,0.0875,0.4625,0.45
5,47,0.1,90,linear@0.90,0.07777777777777778,0.4444444444444444,0.4777777777777778
5,47,0.1,100,linear@0.90,0.07,0.46,0.47
5,47,0.2,10,linear@0.90,0.9,0.0,0.1
5,47,0.2,20,linear@0.90,0.85,0.0,0.15
5,47,0.2,30,linear@0.90,0.8333333333333334,0.0,0.16666666666666666
5,47,0.2,40,linear@0.90,0.725,0.0,0.275
5,47,0.2,50,linear@0.90,0.64,0.0,0.36
5,47,0.2,60,linear@0.90,0.5333333333333333,0.11666666666666667,0.35
5,47,0.2,70,linear@0.90,0.45714285714285713,0.24285714285714285,0.3
5,47,0.2,80,linear@0.90,0.4,0.3375,0.2625
5,47,0.2,90,linear@0.90,0.35555555555555557,0.4111111111111111,0.23333333333333334
5,47,0.2,100,linear@0.90,0.32,0.4,0.28
6,48,0.0,10,linear@0.90,0.0,0.0,1.0
6,48,0.0,20,linear@0.90,0.0,0.1,0.9
6,48,0.0,30,linear@0.90,0.0,0.23333333333333334,0.7666666666666667
6,48,0.0,40,linear@0.90,0.0,0.275,0.725
6,48,0.0,50,linear@0.90,0.0,0.36,0.64
6,48,0.0,60,linear@0.90,0.0,0.4,0.6
6,48,0.0,70,linear@0.90,0.0,0.37142857142857144,0.6285714285714286
6,48,0.0,80,linear@0.90,0.0,0.375,0.625
6,48,0.0,90,linear@0.90,0.0,0.4222222222222222,0.5777777777777777
6,48,0.0,100,linear@0.90,0.0,0.43,0.57
6,48,0.05,10,linear@0.90,0.5,0.0,0.5
6,48,0.05,20,linear@0.90,0.25,0.3,0.45
6,48,0.05,30,linear@0.90,0.16666666666666666,0.4,0.43333333333333335
6,48,0.05,40,linear@0.90,0.125,0.375,0.5
6,48,0.05,50,linear@0.90,0.1,0.38,0.52
6,48,0.05,60,linear@0.90,0.08333333333333333,0.36666666666666664,0.55
6,48,0.05,70,linear@0.90,0.07142857142857142,0.37142857142857144,0.5571428571428572
6,48,0.05,80,linear@0.90,0.0625,0.3875,0.55
6,48,0.05,90,linear@0.90,0.05555555555555555,0.4222222222222222,0.5222222222222223
6,48,0.05,100,linear@0.90,0.05,0.42,0.53
6,48,0.1,10,linear@0.90,0.6,0.0,0.4
6,48,0.1,20,linear@0.90,0.45,0.0,0.55
6,48,0.1,30,linear@0.90,0.3333333333333333,0.13333333333333333,0.5333333333333333
6,48,0.1,40,linear@0.90,0.25,0.35,0.4
6,48,0.1,50,linear@0.90,0.2,0.4,0.4
6,48,0.1,60,linear@0.90,0.16666666666666666,0.4666666666666667,0.36666666666666664
6,48,0.1,70,linear@0.90,0.14285714285714285,0.42857142857142855,0.42857142857142855
6,48,0.1,80,linear@0.90,0.125,0.425,0.45
6,48,0.1,90,linear@0.90,0.1111111111111111,0.4444444444444444,0.4444444444444444
6,48,0.1,100,linear@0.90,0.1,0.43,0.47
6,48,0.2,10,linear@0.90,0.8,0.0,0.2
6,48,0.2,20,linear@0.90,0.85,0.0,0.15
6,48,0.2,30,linear@0.90,0.7333333333333333,0.0,0.26666666666666666
6,48,0.2,40,linear@0.90,0.7,0.0,0.3
6,48,0.2,50,linear@0.90,0.72,0.0,0.28
6,48,0.2,60,linear@0.90,0.65,0.0,0.35
6,48,0.2,70,linear@0.90,0.6142857142857143,0.0,0.38571428571428573
6,48,0.2,80,linear@0.90,0.5375,0.125,0.3375
6,48,0.2,90,linear@0.90,0.4777777777777778,0.2222222222222222,0.3
6,48,0.2,100,linear@0.90,0.43,0.3,0.27
7,49,0.0,10,linear@0.90,0.0,0.0,1.0
7,49,0.0,20,linear@0.90,0.0,0.15,0.85
7,49,0.0,30,linear@0.90,0.0,0.26666666666666666,0.7333333333333333
7,49,0.0,40,linear@0.90,0.0,0.325,0.675
7,49,0.0,50,linear@0.90,0.0,0.36,0.64
7,49,0.0,60,linear@0.90,0.0,0.43333333333333335,0.5666666666666667
7,49,0.0,70,linear@0.90,0.0,0.45714285714285713,0.5428571428571428
7,49,0.0,80,linear@0.90,0.0,0.4625,0.5375
7,49,0.0,90,linear@0.90,0.0,0.4666666666666667,0.5333333333333333
7,49,0.0,100,linear@0.90,0.0,0.46,0.54
7,49,0.05,10,linear@0.90,0.3,0.0,0.7
